C0003811	cardiac arrhythmia
C0039236	tachycardia, paroxysmal
C0043202	wolff-parkinson-white syndrome
C0027045	myocardial contraction
C0038220	status epilepticus
C1150607	protein tyrosine kinase activity
C0017205	gaucher disease
C0006145	breast diseases
C0024517	major depressive disorder, single episode, unspecified
C0002520	amino acids
C1621749	5-hydroxytryptamine uptake
C0004669	bacteroides infections
C0008149	chlamydia infections
C0014836	escherichia coli infections
C0017411	female genital diseases
C0018081	gonorrhea
C0018482	haemophilus infections
C0022729	klebsiella infections
C0004626	pneumonia, bacterial
C0033817	pseudomonas infections
C0037199	sinusitis
C0038395	streptococcal infections
C1621982	positive regulation of microtubule depolymerization
C0013502	echinococcosis
C0013504	echinococcosis, hepatic
C0013505	echinococcosis, pulmonary
C0152068	echinococcus granulosus infection
C0392661	infection by dipylidium caninum
C0221198	lesion
C0338437	neurocysticercosis
C0473878	tenia solium infection
C0002831	ancylostomiasis
C0009021	clonorchiasis
C0086227	enterobiasis
C0017536	giardiasis
C0020413	hymenolepiasis
C0027528	necatoriasis
C0029106	opisthorchiasis
C0040553	toxocariasis
C0040954	infection by trichuris trichiura
C0243026	systemic infection
C0421207	airways obstruction reversible
C0006266	bronchial spasm
C0015263	bronchospasm, exercise-induced
C0600260	lung diseases, obstructive
C0004099	asthma, exercise-induced
C0015456	facial dermatoses
C0016509	foot dermatoses
C0018567	hand dermatoses
C0023219	leg dermatoses
C0278678	metastatic renal cell cancer
C0007134	renal cell carcinoma
C0009404	colorectal neoplasms
C0025202	melanoma
C0026764	multiple myeloma
C0406317	chronic small plaque psoriasis
C0279694	monoclonal antibody therapy
C0029401	osteitis deformans
C0030186	paget disease extramammary
C0030201	pain, postoperative
C0232854	slowing of urinary stream
C1704272	benign prostatic hyperplasia
C0423595	sensation as if bladder still full
C0085606	urgency of micturition
C0749948	urinary straining
C0178879	urinary tract obstruction
C0426385	urine stream interrupted
C1458140	bleeding tendency
C1961835	gaucher disease, type 1
C0019209	hepatomegaly
C0238644	profound anemia
C0038002	splenomegaly
C0040034	thrombocytopenia
C0023895	liver diseases
C0037997	splenic diseases
C1969581	hypertension, moderate
C3276943	hypertension, mild
C0085580	essential hypertension
C1150120	renin activity
C0524910	hepatitis c, chronic
C0276535	aids with kaposi's sarcoma
C0037284	skin lesion
C0036220	kaposi sarcoma
C0520909	postoperative nausea and vomiting
C0549202	desiccation eczema
C0221245	fissure in skin
C0018099	gout
C1151293	xanthine oxidase activity
C0041981	increased uric acid level
C0023418	leukemia
C0024299	lymphoma
C1698088	malignant solid tumor
C0744465	gout symptomatic
C0740394	hyperuricemia
C0409908	secondary gout
C2955673	urate nephropathy
C0006736	calculi
C0041364	tumor lysis syndrome
C0000786	spontaneous abortion
C1740836	acute migraine
C0149931	migraine disorders
C2258748	dipeptidyl-peptidase iv activity
C1262211	diarrhea predominant irritable bowel syndrome
C0000737	abdominal pain
C0001818	agoraphobia
C0003469	anxiety disorders
C0030319	panic disorder
C0011581	depressive disorder
C1148670	benzodiazepine receptor activity
C0030318	panic
C3179395	sympatholytic effect
C0242350	erectile dysfunction
C0018798	congenital heart defects
C0013274	patent ductus arteriosus
C0003490	aortic arch syndromes
C0003492	aortic coarctation
C0020542	pulmonary hypertension
C0152101	hypoplastic left heart syndrome
C0243000	impotence, vasculogenic
C0034089	pulmonary valve stenosis
C0039685	tetralogy of fallot
C0243002	tricuspid atresia
C0155626	acute myocardial infarction
C0948008	ischemic stroke
C0003838	arterial occlusive diseases
C0007781	intracranial embolism and thrombosis
C0014442	enzymes
C2082390	plasminogen activity
C0278689	ovarian epithelial cancer recurrent
C1708063	first-line therapy
C0000729	abdominal cramps
C0948733	abdominal spasm
C0332853	anastomosis
C2004454	recovery - healing process
C0858266	drug-induced extrapyramidal side effects
C2062441	influenza a
C0242422	parkinsonian disorders
C0151786	muscle weakness
C0026896	myasthenia gravis
C0026848	myopathy
C0948205	enterobacter infection
C0568095	cisplatin poisoning
C0278996	cancer of head and neck
C1140680	malignant neoplasm of ovary
C3162255	postoperative radiation therapy
C0595916	toxic nephropathy
C0043352	xerostomia
C0022660	kidney failure, acute
C0034531	radiation injuries, experimental
C0085533	chemotherapy, adjuvant
C0599732	cell injury
C0427965	antimicrobial susceptibility
C1411980	mycobacterium avium infection
C0033700	proteus infections
C0085394	serratia infections
C0005943	bone diseases, infectious
C0014118	endocarditis
C0026918	mycobacterium infections
C0035243	respiratory tract infections
C0036690	septicemia
C1153463	sodium channel activity
C1153415	ion channel activity
C0003962	ascites
C0032617	polyuria
C1149069	aromatase activity
C0235653	malignant neoplasm of female breast
C0154084	stage 0 breast carcinoma
C0027661	neoplasms, hormone-dependent
C0001622	adrenal gland hyperfunction
C1998319	functional capacity
C0206088	renal plasma flow, effective
C0877430	asthma chronic
C0008677	bronchitis, chronic
C0746102	chronic lung disease
C1753334	phosphodiesterase activity
C3178749	purinergic effect
C3159308	purinergic receptor activity
C0003578	apnea
C0428977	bradycardia
C2249967	smooth muscle relaxation
C0426584	excessive appetite
C0948268	hemodynamic instability
C1739149	recurrent ventricular fibrillation
C1737264	recurrent ventricular tachycardia
C0085612	ventricular arrhythmia
C0024713	manic disorder
C0036337	schizoaffective disorder
C0699826	chronic stable angina
C0002963	angina pectoris, variant
C0034760	reagents
C0021603	sleep initiation and maintenance disorders
C0277793	onset of illness
C0280449	secondary acute myeloid leukemia
C1151129	squalene monooxygenase activity
C0011573	endogenous depression
C0027932	neurotic disorders
C0011579	reactive depression
C0270458	severe major depression with psychotic features
C0282126	depression, neurotic
C0033931	psychophysiologic disorders
C0864762	acute gonorrhea
C1096266	alpha haemolytic streptococcal infection
C0948279	beta haemolytic streptococcal infection
C0395797	ear, nose and throat disorder
C0948752	enterococcal faecalis infection
C0348321	hemophilus influenza infection
C1279247	genitourinary tract infection
C0149725	lower respiratory tract infection
C0948747	neisseria gonorrhoeae infection
C0032269	pneumococcal infections
C0276078	proteus mirabilis infection
C0948357	urethral infection
C0001261	actinomycosis
C0005660	human bite
C0014121	bacterial endocarditis
C0079487	helicobacter infections
C0023860	listeriosis
C0024198	lyme disease
C0029882	otitis media
C0149778	soft tissue infections
C0030842	penicillins
C1096222	urinary tract infection bacterial
C1657587	dopamine uptake
C1263846	attention deficit hyperactivity disorder
C0002667	amphetamines
C1264613	infectious disease of digestive tract
C0025289	meningitis
C0036117	salmonella infections
C0013371	shigella infections
C1527298	dysentery, bacillary
C0085437	meningitis, bacterial
C0025303	meningococcal infections
C0032965	pregnancy complications, infectious
C0521989	associated symptom
C0027022	myeloproliferative disease
C1336741	thrombohemorrhagic event
C1449720	adolescent gynecomastia
C3495917	advanced breast cancer
C2367479	estrogen or progesterone receptor positive for breast cancer
C0206159	postmenopause
C0018951	hematopoiesis
C1150635	stem cell factor receptor activity
C0243001	abdominal abscess
C0851807	aspergillus infections
C0877445	candidemia
C0006840	candidiasis
C0239295	candidiasis of the esophagus
C0919659	oropharyngeal candidiasis
C0031154	peritonitis
C0851886	pneumocystis infections
C1149142	opioid receptor activity
C0542088	mental function decreased
C0274594	poisoning by vitamin k
C0151814	coronary occlusion
C0232338	blood flow
C0042487	venous thrombosis
C0597295	protein biosynthesis
C0264686	coronary artery embolism
C1304119	chronic stable plaque psoriasis
C1287351	finding of liver enzyme levels
C1149587	blood coagulation factor x activity
C0679246	advanced disease
C0391852	hypomobility
C0520010	acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)
C0852903	on - off phenomenon
C1504539	wearing off effect
C0021890	intraoperative complications
C0677850	adjuvant therapy
C0418981	medical therapy
C0028840	ocular hypertension
C0021376	chronic inflammation
C0024137	lupus erythematosus, cutaneous
C1149140	substance p receptor activity
C0401160	chemotherapy-induced nausea and vomiting
C1153465	voltage-gated sodium channel activity
C0079027	blood loss, surgical
C1150284	trypsin activity
C1622131	proteinase activity
C0004352	autistic disorder
C0016667	fragile x syndrome
C0011900	diagnosis
C1290879	disorder of knee
C0079043	bronchoconstriction
C0272285	heparin-induced thrombocytopenia
C2062462	drug resistant malaria due to plasmodium falciparum
C0024535	malaria, falciparum
C0009187	coccidiosis
C0023449	acute lymphocytic leukemia
C1518478	nutraceuticals
C0019196	hepatitis c
C0004364	autoimmune diseases
C0544885	mutation, nonsense
C0242781	disease transmission
C0262514	exposure to hiv infection
C2362616	history of exposure to potentially hazardous body fluids
C0744986	hiv risk factor exposure hiv positive body fluid
C0004239	atrial flutter
C0025361	mental processes
C2248143	hmg-coa reductase activity
C0948089	acute coronary syndrome
C0855613	apolipoprotein b increased
C1320716	cardiovascular event
C0428471	hdl - high density lipoprotein cholesterol level result
C0342881	familial hypercholesterolemia - homozygous
C0020479	hyperlipoproteinemia type iii
C1837784	increased serum total cholesterol
C0549399	low density lipoprotein increased
C0342879	primary hypercholesterolemia
C1442959	nutrition function
C0020476	hyperlipoproteinemias
C1149153	oxytocin receptor activity
C0599741	drug intolerant
C0032305	pneumonia, pneumocystis carinii
C0085315	toxoplasmosis, cerebral
C0860033	infection in patient with aids
C1151586	lipoxygenase activity
C0344132	carbamate poisoning
C0274705	poisoning by organophosphorus anticholinesterase
C2082900	poisoning by organophosphorus insecticides
C0037188	sinoatrial block
C0042164	uveitis
C1148567	thioredoxin reductase (nadph) activity
C0030807	pemphigus
C0427970	beta-lactamase activity
C1150636	vascular endothelial growth factor receptor activity
C1150632	pdgfr activity
C3463824	myelodysplastic syndrome
C0023480	leukemia, myelomonocytic, chronic
C1510411	metaplastic cell transformation
C0027947	neutropenia
C0002894	refractory anaemia with excess blasts
C1264195	refractory anemia with ringed sideroblasts
C2211190	acute myelogenous leukemia with multilineage dysplasia
C1695982	blood product transfusion dependent
C0280028	refractory anemia with excess blasts in transformation (clinical)
C2607914	allergic rhinitis (disorder)
C0848309	rhinitis perennial
C0949070	upper respiratory tract congestion
C0009319	colitis
C0009324	ulcerative colitis
C0024141	lupus erythematosus, systemic
C0043117	purpura, thrombocytopenic, idiopathic
C0022281	itching of eye
C3472698	non-allergic rhinitis
C1096584	chlamydia pneumoniae infection
C1096746	moraxella catarrhalis infection
C3241943	infection due to mycoplasma pneumoniae
C1318973	staphylococcus aureus infection
C0554628	streptococcus pyogenes infection
C0026919	mycobacterium infections, nontuberculous
C0085396	neisseriaceae infections
C0031350	pharyngitis
C0032302	mycoplasma pneumonia
C0040425	tonsillitis
C0041976	urethritis
C0003240	macrolide antibiotics
C0276075	infection due to pseudomonas aeruginosa
C2264881	penicillin binding protein (3 or 1b) activity
C1262234	gynecological infection
C1112209	intraabdominal infections
C0275652	acute gonococcal urethritis
C0015403	eye infections
C0014009	empyema
C0043241	wound infection
C0014358	enterocolitis, pseudomembranous
C0015404	eye infections, bacterial
C0009024	clonus
C0026837	muscle rigidity
C0026838	muscle spasticity
C1148671	gaba-b receptor activity
C0005697	neurogenic urinary bladder
C0007789	cerebral palsy
C0019521	hiccup
C0026976	myelitis, transverse
C0030200	pain, intractable
C0037929	spinal cord injuries
C0752130	spinal cord ischemia
C0037930	spinal cord neoplasms
C0038018	spondylolysis
C0040997	trigeminal neuralgia
C0011311	dengue fever
C1149827	acetylcholinesterase activity
C0683419	disorders of initiating or maintaining wakefulness
C0009241	cognition disorders
C0085119	foot ulcer
C0157738	chronic skin ulcer
C2265597	mesenchymal cell proliferation
C2250396	atp synthase activity
C0345468	transplanted organ rejection
C1150388	dna topoisomerase i activity
C1150386	dna topoisomerase activity
C0011881	diabetic nephropathy
C0149721	left ventricular hypertrophy
C0242698	ventricular dysfunction, left
C1153352	sodium:chloride symporter activity
C0027726	nephrotic syndrome
C0028754	obesity
C0039840	thiamine
C1150820	dopa decarboxylase activity
C1150805	carboxy-lyase activity
C0267963	exocrine pancreatic insufficiency
C0871311	screening test
C0162820	dermatitis, allergic contact
C0011616	contact dermatitis
C0032087	plant poisoning
C0360741	barrier preparation
C0271429	acute otitis media
C0155393	acute swimmer's ear
C0262445	denture irritation
C0013456	earache
C0560621	gum injury
C0272426	injury of mouth
C0239739	tenderness of gums
C0016927	gagging
C0282222	lubricants
C0016167	anal fissure
C0149745	oral ulcer
C0021925	intubation
C1281429	exogenous obesity
C1720436	under anesthesia
C0577698	exercise-induced angina
C0728731	prematurity of fetus
C0443301	sequestration
C0025281	meniere disease
C0042571	vertigo
C0019880	homocystinuria
C0009326	collagen diseases
C1882062	neoplastic disease
C3495832	rheumatic disorder
C0040896	trichinellosis
C0041318	tuberculosis, meningeal
C0341742	acute retention of urine
C0341745	postoperative retention of urine
C0080274	urinary retention
C2316304	human epidermal growth factor 2 negative carcinoma of breast
C0278488	carcinoma breast stage iv
C0948380	colorectal cancer metastatic
C1160692	virus maturation
C0862204	cutaneous t-cell lymphoma refractory
C1514815	refractory disease
C2983415	persistent disease
C2216549	malignant lymphoma stage ia
C2216550	malignant lymphoma stage ib
C0745103	hyperlipoproteinemia type iia
C1704417	hyperlipoproteinemia type iib
C0020480	hyperlipoproteinemia type iv
C0020481	hyperlipoproteinemia type v
C0342890	primary combined hyperlipidemia
C0853689	secondary hyperlipidemia
C0162643	treatment failure
C2244354	gaba-gated chloride ion channel activity
C1148669	gaba-a receptor activity
C0026229	mite infestations
C0857501	acute schizophrenia
C0040259	tinea pedis
C0595921	intraocular pressure disorder
C1152751	prostaglandin receptor activity
C0009235	coenzymes
C0015371	extrapyramidal disorders
C0569594	neuroleptic adverse reaction
C0304553	stimulant laxative
C0012634	disease
C1150245	serine-type endopeptidase activity
C0007121	bronchogenic carcinoma
C0242379	malignant neoplasm of lung
C0153489	malignant neoplasm of trachea
C0007137	squamous cell carcinoma
C1261473	sarcoma
C0039590	testicular neoplasms
C2936235	peptidomimetics
C0028910	oils, volatile
C1622946	proteasome activity
C1149114	endothelin receptor activity
C2973725	pulmonary arterial hypertension
C2266739	src non-membrane spanning protein tyrosine kinase activity
C1149126	melanocortin receptor activity
C0549622	sexual dysfunction
C0014544	epilepsy
C0270736	essential tremor
C1290884	inflammatory disorder
C0236663	alcohol withdrawal syndrome
C0549263	opiate withdrawal symptoms
C0086769	panic attacks
C0241311	post operative (finding)
C0001206	acromegaly
C0009566	complication
C2220255	motor disturbances
C0694564	early parkinson's
C0020514	hyperprolactinemia
C0554400	lactation problem
C0025345	menstruation disturbances
C0027849	neuroleptic malignant syndrome
C1400187	hypogonadism; pituitary
C0033375	prolactinoma
C1384668	radiotherapy (finding)
C0039082	syndrome
C0002453	amenorrhea
C2611224	prolactin secretion
C0026603	motion sickness
C3257803	watery eyes
C1260880	rhinorrhea
C0243192	agonists
C0012833	dizziness
C0027430	nasal polyps
C1153353	sodium:potassium:chloride symporter activity
C0023890	liver cirrhosis
C0034063	pulmonary edema
C0430022	diagnostic procedure
C0005615	birth
C0026636	mouth diseases
C0039231	tachycardia
C1149143	delta-opioid receptor activity
C1149144	kappa-opioid receptor activity
C0524662	opiate addiction
C0278140	severe pain
C0019337	heroin dependence
C0040336	tobacco use disorder
C1260918	animal coccidiosis
C0021361	female infertility
C0025362	mental retardation
C0035150	reproduction
C0005956	bone marrow diseases
C0018129	graft rejection
C0027013	myeloid metaplasia
C0282532	antineoplastic agents, alkylating
C0033893	tension headache
C0027409	narcotic analgesics
C0014531	epidermophytosis
C0040247	tinea
C0040252	tinea corporis (disorder)
C1384589	tinea cruris
C1274486	tinea due to trichophyton mentagrophytes
C1299606	tinea due to trichophyton rubrum
C1274494	tinea due to trichophyton tonsurans
C0700345	candidiasis, vulvovaginal
C1513285	negative regulation of microtubule depolymerization
C1328504	hormone refractory prostate cancer
C0936223	prostate cancer metastatic
C0032000	pituitary adenoma
C0271552	idiopathic hyperprolactinemia
C0023570	levodopa
C1152761	g-protein coupled adenosine receptor activity
C1753335	ryanodine receptor activity
C0013144	drowsiness
C0475715	apnea of prematurity
C0020651	hypotension, orthostatic
C0005944	metabolic bone disorder
C0008679	chronic disease
C1153079	calcium channel regulator activity
C0748089	pth increased
C0274419	complication of renal dialysis
C0035086	renal osteodystrophy
C0020631	familial hypophosphatemia
C0410438	primary osteoporosis
C2363065	vitamin d-resistant rickets
C1836134	poor muscle build
C1153129	glucose:sodium symporter activity
C0268390	muckle-wells syndrome
C1150172	metalloendopeptidase activity
C1152747	cannabinoid receptor activity
C0020428	hyperaldosteronism
C1149927	protein phosphatase activity
C0026393	molluscum contagiosum
C0024623	malignant neoplasm of stomach
C0677930	primary neoplasm
C0741681	breast cancer nos metastatic recurrent
C0677936	refractory cancer
C0278480	stage iii colon cancer
C0020545	hypertension, renovascular
C0004775	bartter disease
C0020540	malignant hypertension
C0034734	raynaud disease
C1325428	l-glutamate transporter activity
C1752930	mitogenic activity
C0085417	epilepsy, complex partial
C0014549	tonic-clonic epilepsy
C0038436	post-traumatic stress disorder
C0038587	substance withdrawal syndrome
C0262380	asymptomatic bacteriuria
C0033581	prostatitis
C0011202	delayed-action preparations
C0030568	parkinson disease, postencephalitic
C0040145	thyroidectomy
C0016470	food allergy
C0029925	ovarian carcinoma
C0085136	central nervous system neoplasms
C0014170	endometrial neoplasms
C0024121	lung neoplasms
C0027658	neoplasms, germ cell and embryonal
C0029463	osteosarcoma
C1269683	major depressive disorder
C0184567	acute onset pain
C2359472	musculoskeletal diseases or conditions
C0026858	musculoskeletal pain
C0027121	myositis
C0006118	brain neoplasms
C0007097	carcinoma
C0009375	colonic neoplasms
C0014474	ependymoma
C0017636	glioblastoma
C0025149	medulloblastoma
C0221765	chronic schizophrenia
C0870668	hospitalized patients
C0151898	schizophrenic reaction
C0857070	chronic open angle glaucoma
C1882085	new york heart association class ii
C1882086	new york heart association class iii
C0238013	aspergillosis, invasive
C0004030	aspergillosis
C0521833	bacterial ear infection
C1141882	pharyngitis bacterial
C1261959	respiratory tract infection bacterial
C1096599	coagulase negative staphylococcal infection
C0021099	impetigo
C1739142	prophylaxis antibiotic pre-surgical
C1444099	infection due to esbl bacteria
C2266959	cephalosporin antibacterial [epc]
C0694549	community acquired pneumonia
C1735365	acute bacterial exacerbation of chronic bronchitis
C0038166	staphylococcal skin infections
C0004610	bacteremia
C0343402	bacterial infection due to klebsiella pneumoniae
C2205936	infection by bacteroides fragilis
C0749647	empiric treatment
C0746883	febrile neutropenia
C3160894	complicated infection
C2367273	infection by methicillin sensitive staphylococcus aureus
C0034186	pyelonephritis
C0001139	acinetobacter infections
C0149514	acute bronchitis
C0856695	acute exacerbation of chronic bronchitis
C1096084	obstetric infection
C1151118	monophenol monooxygenase activity
C0021313	infection of kidney
C0000833	abscess
C0684256	bacterial septicemia
C2242472	infection of bone
C0007684	central nervous system infection
C0157749	arthropathy associated with infection
C0007947	chancroids
C0014335	enteritis
C0014534	epididymitis
C0033247	proctocolitis
C0699744	infection of ear
C0032580	adenomatous polyposis coli
C0149875	primary dysmenorrhea
C0149524	acute prostatitis
C1522133	hypercholesterolemia result
C0425422	dietary restriction nos
C0596562	fatty acid biosynthetic process
C0850060	nasal itching
C1387126	allergy; upper respiratory tract
C0578870	chronic idiopathic urticaria
C1150617	epidermal growth factor receptor activity
C1522449	therapeutic radiology procedure
C1168401	carcinoma, squamous cell of head and neck
C1527336	sjogren's syndrome
C0079734	lymphoma, diffuse
C1704321	nephrotic syndrome, minimal change
C0024419	waldenstrom macroglobulinemia
C0008497	choriocarcinoma
C0028165	nitrogen mustard compounds
C0343407	aerobacter aerogenes infection
C0521777	infection of external auditory canal
C0042636	vibrio infections
C2732557	infection by tetracycline resistant organism
C0009768	bacterial conjunctivitis
C0008354	cholera
C0025294	meningococcal meningitis
C0035585	rickettsia infections
C0699757	acute alcoholism
C0149821	alcohol withdrawal acute
C0233485	apprehension
C1442877	sore skin
C0266929	chronic periodontitis
C0010340	critical illness
C0564382	depth of periodontal pocket
C1963980	oropharyngeal infections (smq)
C0455082	skin cleansing procedure
C0018581	handwashing
C0006849	oral candidiasis
C0851444	allergic condition
C0947961	atopic disorders
C0858318	plasmodium falciparum infection
C0858319	plasmodium malariae infection
C0858320	plasmodium ovale infection
C0858321	plasmodium vivax infection
C0024138	lupus erythematosus, discoid
C0024533	malaria, avian
C0036421	systemic scleroderma
C0085688	breast engorgement
C0154208	disorder of endocrine ovary
C1408539	sexual; underdevelopment
C0205721	infections, hospital
C0520898	skin sensitivity function
C0175677	injury
C0442874	neuropathy
C0015468	facial pain
C0026857	musculoskeletal diseases
C0235165	acute mania
C0036349	paranoid schizophrenia
C0948033	bile output decreased
C0008412	choline deficiency
C0021280	infant nutrition disorders
C0006846	cutaneous candidiasis
C0011636	dermatophytosis
C0276680	infection by candida albicans
C1274478	tinea due to microsporum canis
C1512656	immunocompetent
C0040261	onychomycosis
C1456869	foot injuries and disorders
C0011630	dermatomycoses
C0206178	cytomegalovirus retinitis
C0920563	insulin sensitivity
C1150160	dipeptidase activity
C1154679	antibiotic catabolic process
C1149863	cyclic-nucleotide phosphodiesterase activity
C0021775	intermittent claudication
C0429886	walking distance
C0080331	walking (activity)
C0018128	graft occlusion, vascular
C1522673	adjuvant
C0043515	zollinger-ellison syndrome
C2267184	calcium-sensing receptor interactions [moa]
C0020503	hyperparathyroidism, secondary
C1561643	chronic kidney diseases
C0687150	parathyroid gland adenocarcinoma
C0274418	complication of peritoneal dialysis
C1372468	increased pth secretion
C1152701	leukotriene receptor activity
C0740411	delayed gastric emptying
C0679316	dysmotility
C0267167	nonulcer dyspepsia
C1843865	vestibular dysfunction
C0086132	depressive symptoms
C0262655	recurrent urinary tract infection
C1519020	peroxisome proliferation
C0598312	dna replication
C2257146	dna topoisomerase type ii activity
C1150389	dna topoisomerase iv activity
C0149523	acute cystitis
C0149512	acute sinusitis
C1720797	chronic bacterial prostatitis
C0013369	dysentery
C0274281	injury due to exposure to external cause
C0155866	inhalational anthrax
C0003175	anthrax disease
C0006818	campylobacter infection
C0010692	cystitis
C0029443	osteomyelitis
C0152020	gastroparesis
C0232587	digestive peristalsis
C0005684	malignant neoplasm of urinary bladder
C0278688	stage iv ovarian carcinoma
C1096715	testicular cancer metastatic
C0004114	astrocytoma
C0262584	carcinoma, small cell
C0206735	melanoma, amelanotic
C0206680	mesothelioma, cystic
C0027819	neuroblastoma
C0038356	stomach neoplasms
C0497327	dementia
C0028768	obsessive-compulsive disorder
C0023443	hairy cell leukemia
C0278885	nhl, adult, low grade
C0155804	acute maxillary sinusitis
C0030824	allergy to penicillin
C0004771	bartonella infections
C0010418	cryptosporidiosis
C2367228	early lyme disease
C0014038	encephalitis
C0455590	h/o: penicillin allergy
C0023241	legionnaires' disease
C0746690	mycobacterium avium complex bacteremia
C0746693	mycobacterium avium complex disseminated
C1396580	endocarditis; streptoccocal
C0040558	toxoplasmosis
C0423153	lacrimation
C0232488	abdominal colic
C0344375	stomach cramps (finding)
C0012813	diverticulitis
C0021390	inflammatory bowel diseases
C0854328	infection due to anaerobic bacteria
C0032290	aspiration pneumonia
C1456868	diabetic foot ulcer
C1622505	gardnerella vaginitis
C1269831	infection due to resistant organism
C0275524	coinfection
C0238124	necrotizing fasciitis
C0030790	pelvic infection
C0750114	vaginosis
C0001255	actinomycetales infections
C0085166	bacterial vaginosis
C0042251	vaginal diseases
C0149911	humoral hypercalcemia of malignancy (disorder)
C0029435	osteolysis
C0153690	secondary malignant neoplasm of bone
C0278519	recurrent childhood acute lymphoblastic leukemia
C1563054	dapsone resistant mycobacterium leprae disease
C0343467	erythema nodosum leprosum
C0023348	leprosy, lepromatous
C0023346	borderline leprosy
C0026916	mycobacterium avium-intracellulare infection
C0085652	pyoderma gangrenosum
C0003128	anovulation
C0029965	ovulation
C0032460	polycystic ovary syndrome
C0021364	male infertility
C0150055	chronic pain
C0014394	enuresis
C0006309	brucellosis
C0026936	mycoplasma infections
C0595948	atypical absence seizure
C0014550	epilepsies, myoclonic
C0347869	epilepsy, akinetic
C0238111	lennox-gastaut syndrome
C0013362	dysarthria
C0040188	tic disorder
C0596240	cancer pain
C0011906	differential diagnosis
C1851651	dysmenorrhea, severe
C0028043	nicotine dependence
C0031511	pheochromocytoma
C0042376	vascular headaches
C0751865	alcohol-induced disorders, nervous system
C0037036	sialorrhea
C0040517	gilles de la tourette syndrome
C0011065	cessation of life
C1704436	peripheral arterial diseases
C1998297	recent myocardial infarction
C1558950	adverse event associated with vascular
C0007785	cerebral infarction
C0010072	coronary thrombosis
C0010096	luteolysis
C0014547	epilepsies, partial
C0860029	vaginal yeast infection
C0599474	cholesterol biosynthetic process
C0007642	cellulitis
C2063865	refractory schizophrenia
C0149896	primary gout
C0031069	familial mediterranean fever
C0023892	biliary cirrhosis
C0151317	chronic infectious disease
C0011127	pressure ulcer
C0027540	necrosis
C1149154	vasopressin receptor activity
C0546817	fluid overload
C0745159	hyponatremia euvolemic
C0020676	hypothyroidism
C0021141	inappropriate adh syndrome
C0024115	lung diseases
C0220908	screening procedure
C0016698	freeze drying
C1320234	bulking preparation
C0011405	dental pulp diseases
C0024899	mastocytosis
C0003850	arteriosclerosis
C1456822	claudication (finding)
C0023218	muscle cramps in leg
C0005424	biliary tract diseases
C0043133	wetting agents
C0026961	mydriasis
C0278694	disseminated neuroblastoma
C0948216	ovarian adenocarcinoma
C0035335	retinoblastoma
C0002880	autoimmune hemolytic anemia
C0006413	burkitt lymphoma
C0019114	hemosiderosis
C0024143	lupus nephritis
C0034902	pure red-cell aplasia
C0035412	rhabdomyosarcoma
C0553580	ewings sarcoma
C0043092	wegener granulomatosis
C0022575	keratoconjunctivitis sicca
C0017668	focal glomerulosclerosis
C0026392	molluscacides
C0221207	urticaria due to cold
C0005747	blepharospasm
C0009088	cluster headache
C0027577	nelson syndrome
C0037771	paraparesis, spastic
C0010691	cystinuria
C2931187	nephropathic cystinosis
C1510432	radiation sickness
C0010690	cystinosis
C0333020	calculus = cystine
C0005699	blast phase
C0948840	meningeal leukemia
C2213017	meningeal lymphoma
C0025284	meningeal neoplasms
C0860594	malignant melanoma, metastatic
C1710038	second line treatment
C1328479	pancreatic endocrine carcinoma
C0206693	medullary carcinoma
C0016057	fibrosarcoma
C1267917	lymphocyte positive for cd40 antigen
C0220611	childhood rhabdomyosarcoma
C0027708	nephroblastoma
C0037579	soft tissue neoplasms
C0042138	uterine neoplasms
C0003236	antibiotics, antineoplastic
C1515673	mtor signaling pathway biocarta
C2247629	dna polymerase activity
C0556291	walking disability
C1510446	acute ischemic heart disease
C0949071	blood clot in dialyzer line
C0403447	chronic kidney insufficiency
C0542269	non-q wave myocardial infarction
C0700572	reduced mobility
C0040046	thrombophlebitis
C0016034	breast fibrocystic disease
C0020506	hyperpituitarism
C0231224	crisis
C0342952	hypermetabolism
C0024591	malignant hyperpyrexia due to anesthesia
C0439669	iatrogenic
C0011608	dermatitis herpetiformis
C0032453	polychondritis, relapsing
C0042023	increased frequency of micturition
C0878773	overactive bladder
C0150045	urge incontinence
C1444095	infection due to resistant virus
C1960397	philadelphia chromosome-positive acute lymphoblastic leukemia
C0277585	drug intolerance
C0023440	acute erythroblastic leukemia
C0023465	acute monocytic leukemia
C0020544	renal hypertension
C2917294	neuromuscular depolarizing blockade [pe]
C0026986	dysmyelopoietic syndromes
C0280745	secondary myelodysplastic syndromes
C1739382	chronic iron overload
C0268064	transfusion hemosiderosis
C0282193	iron overload
C0861041	aluminium high
C0745409	iron toxicity
C1148613	iron ion binding
C0010034	corneal diseases
C0018995	hemochromatosis
C0232340	abnormal vascular flow
C0241669	venous occlusion
C0577247	ability to get an erection
C0003125	anorexia nervosa
C0005938	bone density
C0423756	thickness of skin
C0409974	lupus erythematosus
C0029453	osteopenia
C0848332	spots on skin
C0525047	sexual and gender disorders
C0334634	malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
C0017605	angle closure glaucoma
C0038379	strabismus
C0017563	gingival diseases
C0017302	general anesthetic drugs
C0086133	depressive syndrome
C0270549	generalized anxiety disorder
C0458960	peripheral neuropathic pain
