DB13961	fish oils
DB13681	butalamine
DB00241	butalbital
DB11148	butamben
DB13328	butanilicaine
DB13213	butaperazine
DB01091	butenafine
DB01353	butobarbital
DB00639	butoconazole
DB11379	butonate
DB00611	butorphanol
DB14084	butylparaben
DB06772	cabazitaxel
DB00248	cabergoline
DB08875	cabozantinib
DB13452	cadralazine
DB00201	caffeine
DB00146	calcifediol
DB02300	calcipotriene
DB00136	calcitriol
DB06415	calfactant
DB01564	calusterone
DB11380	cambendazole
DB13729	camostat
DB04690	camptothecin
DB13738	camylofine
DB08907	canagliflozin
DB06168	canakinumab
DB13919	candesartan
DB01152	candicidin
DB00616	candoxatril
DB11623	candoxatrilat
DB05424	canertinib
DB06441	cangrelor
DB14737	cannabinoid
DB12221	canrenone
DB12328	cantharidin
DB01101	capecitabine
DB00314	capreomycin
DB06774	capsaicin
DB01197	captopril
DB11504	caramiphen
DB00564	carbamazepine
DB13677	carbazilquinone
DB09012	carbazochrome
DB07301	carbazole
DB00578	carbenicillin
DB02329	carbenoxolone
DB11186	carbetapentane
DB01282	carbetocin
DB00190	carbidopa
DB00389	carbimazole
DB00748	carbinoxamine
DB00958	carboplatin
DB04657	carboxin
DB13406	carbutamide
DB15591	cardiodilatin
DB13506	carfecillin
DB01535	carfentanil
DB08889	carfilzomib
DB06468	cariporide
DB06016	cariprazine
DB12338	carisbamate
DB00395	carisoprodol
DB12718	carlumab
DB12268	carmegliptin
DB00262	carmustine
DB00583	carnitine
DB13835	caroverine
DB09254	caroxazone
DB01038	carphenazine
DB00821	carprofen
DB00521	carteolol
DB13553	carumonam
DB01136	carvedilol
DB06634	casopitant
DB00520	caspofungin
DB01816	castanospermine
DB01486	cathine
DB01560	cathinone
DB01414	cefacetrile
DB00833	cefaclor
DB01140	cefadroxil
DB00689	cefaloglycin
DB09008	cefaloridine
DB01326	cefamandole
DB13266	cefatrizine
DB13778	cefazedone
DB01327	cefazolin
DB13638	cefbuperazone
DB00535	cefdinir
DB01066	cefditoren
DB01413	cefepime
DB13504	cefetamet
DB00671	cefixime
DB00267	cefmenoxime
DB00274	cefmetazole
DB09062	cefminox
DB13470	cefodizime
DB01328	cefonicid
DB01329	cefoperazone
DB00923	ceforanide
DB00493	cefotaxime
DB01330	cefotetan
DB00229	cefotiam
DB01331	cefoxitin
DB00430	cefpiramide
DB13682	cefpirome
DB01416	cefpodoxime
DB01150	cefprozil
DB11367	cefroxadine
DB13499	cefsulodin
DB00438	ceftazidime
DB13821	ceftezole
DB01415	ceftibuten
DB11485	ceftiofur
DB01332	ceftizoxime
DB04918	ceftobiprole
DB01212	ceftriaxone
DB01112	cefuroxime
DB00482	celecoxib
DB04846	celiprolol
DB00567	cephalexin
DB00456	cephalothin
DB01139	cephapirin
DB01333	cephradine
DB00439	cerivastatin
DB09261	certoparin
DB01034	cerulenin
DB06419	cethromycin
DB13753	cetiedil
DB06586	cetilistat
DB00341	cetirizine
DB01718	cetrimonium
DB00050	cetrorelix
DB00002	cetuximab
DB11073	cetylpyridinium
DB00185	cevimeline
DB14357	chamomile
DB09278	charcoal
DB11234	chitosan
DB04837	chlophedianol
DB00291	chlorambucil
DB00446	chloramphenicol
DB08936	chlorcyclizine
DB13516	chlordantoin
DB01511	chlordesmethyldiazepam
DB00475	chlordiazepoxide
DB00878	chlorhexidine
DB00534	chlormerodrin
DB06470	chlormethiazole
DB01178	chlormezanone
DB11386	chlorobutanol
DB11387	chloroform
DB01161	chloroprocaine
DB08800	chloropyramine
DB00608	chloroquine
DB00269	chlorotrianisene
DB01243	chloroxine
DB11121	chloroxylenol
DB00856	chlorphenesin
DB09007	chlorphenoxamine
DB01556	chlorphentermine
DB13382	chlorproethazine
DB12314	chlorproguanil
DB00672	chlorpropamide
DB01239	chlorprothixene
DB13306	chlorquinaldol
DB09093	chlortetracycline
DB00310	chlorthalidone
DB00356	chlorzoxazone
DB00169	cholecalciferol
DB08862	cholecystokinin
DB00122	choline
DB13279	chromonar
DB06752	chymopapain
DB01683	chymostatin
DB09375	chymotrypsin
DB01410	ciclesonide
DB12766	cicletanine
DB01188	ciclopirox
DB13358	cifenline
DB09201	ciglitazone
DB04885	cilansetron
DB01597	cilastatin
DB01340	cilazapril
DB15565	cilazaprilat
DB09232	cilnidipine
DB03849	cilomilast
DB01166	cilostazol
DB06255	cimadronate
DB00501	cimetidine
DB09271	cimetropium
DB01012	cinacalcet
DB00587	cinalukast
DB08810	cinitapride
DB00568	cinnarizine
DB01594	cinolazepam
DB00827	cinoxacin
DB15467	cinoxate
DB09064	ciprofibrate
DB00537	ciprofloxacin
DB09202	cirazoline
DB00604	cisapride
DB00565	cisatracurium
DB00515	cisplatin
DB00215	citalopram
DB12250	cixutumumab
DB00242	cladribine
DB01211	clarithromycin
DB13511	clebopride
DB00283	clemastine
DB01407	clenbuterol
DB06683	clevudine
DB00771	clidinium
DB01190	clindamycin
DB04815	clioquinol
DB00349	clobazam
DB11750	clobetasol
DB09004	clobutinol
DB00838	clocortolone
DB00720	clodronate
DB00631	clofarabine
DB00845	clofazimine
DB00636	clofibrate
DB00882	clomifene
DB01242	clomipramine
DB00453	clomocycline
DB01068	clonazepam
DB00575	clonidine
DB09218	clonixin
DB13792	clopamide
DB13841	clopenthixol
DB00758	clopidogrel
DB13843	cloprednol
DB11507	cloprostenol
DB00628	clorazepate
DB13617	clorexolone
DB04017	clorgyline
DB11389	clorsulon
DB13256	clothiapine
DB01559	clotiazepam
DB00257	clotrimazole
DB01147	cloxacillin
DB00363	clozapine
DB14098	cobalamin
DB09065	cobicistat
DB05514	cobiprostone
DB01394	colchicine
DB00930	colesevelam
DB00375	colestipol
DB02587	colforsin
DB01111	colistimethate
DB00803	colistin
DB00048	collagenase
DB12596	combretastatin
DB11646	conatumumab
DB00872	conivaptan
DB12156	cordycepin
DB04652	corticosterone
DB14681	cortisone
DB13003	cortivazol
DB05806	cositecan
DB01284	cosyntropin
DB11390	coumaphos
DB04665	coumarin
DB00682	coumarins
DB13912	coumermycin
DB00148	creatine
DB11846	creatinine
DB11959	crenezumab
DB11832	crenolanib
DB11143	cresol
DB08865	crizotinib
DB05974	crocetin
DB04941	crofelemer
DB12925	crolibulin
DB01003	cromolyn
DB00265	crotamiton
DB00785	cryptenamine
DB11672	curcumin
DB02679	cyanamide
DB01000	cyclacillin
DB04838	cyclandelate
DB01176	cyclizine
DB13465	cyclobendazole
DB00924	cyclobenzaprine
DB13493	cyclobutyrol
DB13472	cyclofenil
DB14763	cycloguanil
DB14124	cyclomethicone
DB13532	cyclopenthiazide
DB00979	cyclopentolate
DB00531	cyclophosphamide
DB13984	cyclopropane
DB00260	cycloserine
DB00091	cyclosporine
DB00606	cyclothiazide
DB00942	cycrimine
DB13828	cyfluthrin
DB13240	cymarine
DB13721	cypermethrin
DB00434	cyproheptadine
DB00847	cysteamine
DB00138	cystine
DB00987	cytarabine
DB11392	cythioate
DB14726	dabigatran
DB08912	dabrafenib
DB00851	dacarbazine
DB12589	dacetuzumab
DB09102	daclatasvir
DB00111	daclizumab
DB11963	dacomitinib
DB00970	dactinomycin
DB11651	dactolisib
DB13182	daidzein
DB02115	daidzin
DB14988	dalantercept
DB06219	dalbavancin
DB12181	dalcetrapib
DB06637	dalfampridine
DB01764	dalfopristin
DB11840	dalotuzumab
DB06779	dalteparin
DB06754	danaparoid
DB01406	danazol
DB11821	danegaptide
DB11779	danoprevir
DB04816	danthron
DB01219	dantrolene
DB06292	dapagliflozin
DB00298	dapiprazole
DB00250	dapsone
DB00080	daptomycin
DB06311	darapladib
DB00496	darifenacin
DB06179	darinaparsin
DB09234	darodipine
DB01264	darunavir
DB01254	dasatinib
DB00694	daunorubicin
DB14956	davalintide
DB12613	davunetide
DB03052	dazoxiben
DB13798	deaminooxytocin
DB13352	deanol
DB04840	debrisoquin
DB01245	decamethonium
DB13705	decamethoxine
DB13600	decamethrin
DB01262	decitabine
DB11394	decoquinate
DB11282	deet
DB01609	deferasirox
DB08826	deferiprone
DB04932	defibrotide
DB00556	definity
DB11921	deflazacort
DB06699	degarelix
DB01708	dehydroepiandrosterone
DB11943	delafloxacin
DB11637	delamanid
DB11956	delanzomib
DB13312	delapril
DB00705	delavirdine
DB00944	demecarium
DB00618	demeclocycline
DB13318	demecolcine
DB06643	denosumab
DB08831	deoxyglucose
DB04209	dequalinium
DB11395	deracoxib
DB06512	deramciclane
DB01089	deserpidine
DB01189	desflurane
DB01151	desipramine
DB11095	desirudin
DB01078	deslanoside
DB00967	desloratadine
DB11510	deslorelin
DB00035	desmopressin
DB00304	desogestrel
DB01260	desonide
DB00547	desoximetasone
DB11556	detomidine
DB00405	dexbrompheniramine
DB13679	dexchlorpheniramine
DB12470	dexelvucitabine
DB08997	dexetimide
DB01191	dexfenfluramine
DB09213	dexibuprofen
DB05351	dexlansoprazole
DB00633	dexmedetomidine
DB06701	dexmethylphenidate
DB09357	dexpanthenol
DB00380	dexrazoxane
DB09255	dextran
DB13560	dextranomer
DB01576	dextroamphetamine
DB01529	dextromoramide
DB14682	dextrorphan
DB00509	dextrothyroxine
DB01209	dezocine
DB11994	diacetylrhein
DB12873	dianhydrogalactitol
DB00271	diatrizoate
DB00829	diazepam
DB01119	diazoxide
DB13270	dibekacin
DB13225	dibenzepin
DB13466	dibenzheptropine
DB04646	dibromothymoquinone
DB13548	dibrompropamidine
DB00527	dibucaine
DB01495	dichloralphenazone
DB11396	dichlorophen
DB08473	dichlororibofuranosylbenzimidazole
DB01144	dichlorphenamide
DB11397	dichlorvos
DB11398	diclazuril
DB00586	diclofenac
DB00485	dicloxacillin
DB00266	dicoumarol
DB00804	dicyclomine
DB00900	didanosine
DB00890	dienestrol
DB09123	dienogest
DB00711	diethylcarbamazine
DB00937	diethylpropion
DB01501	difenoxin
DB13371	difenpiramide
DB00223	diflorasone
DB09095	diflucortolone
DB00861	diflunisal
DB06781	difluprednate
DB01396	digitoxin
DB00390	digoxin
DB12945	dihydralazine
DB12890	dihydrexidine
DB11638	dihydroartemisinin
DB01551	dihydrocodeine
DB11273	dihydroergocornine
DB13345	dihydroergocristine
DB13385	dihydroergocryptine
DB00320	dihydroergotamine
DB01565	dihydromorphine
DB01070	dihydrotachysterol
DB02901	dihydrotestosterone
DB01775	dihydroxyacetone
DB13715	dilazep
DB12140	dilmapimod
DB08792	diloxanide
DB00343	diltiazem
DB13810	dimemorfan
DB00985	dimenhydrinate
DB06782	dimercaprol
DB11074	dimethicone
DB08801	dimethindene
DB13683	dimethisoquin
DB14143	dimethyldioctadecylammonium
DB13282	dimethyldodecylbenzylammonium
DB01444	dimethylthiambutene
DB03608	diminazene
DB11283	dimyristoylphosphatidylcholine
DB12021	dinaciclib
DB11480	dinitolmide
DB11831	dinitrochlorobenzene
DB12789	dinoprost
DB00917	dinoprostone
DB11259	diosmetin
DB11221	dioxybenzone
DB01075	diphenhydramine
DB01231	diphenidol
DB01081	diphenoxylate
DB12173	diphenylcyclopropenone
DB01146	diphenylpyraline
DB00449	dipivefrin
DB01548	diprenorphine
DB13785	dipropizine
DB04165	dipropylacetamide
DB00975	dipyridamole
DB00954	dirithromycin
DB13399	dironyl
DB00280	disopyramide
DB13694	distigmine
DB00822	disulfiram
DB11516	dithiazanine
DB01692	dithioerythritol
DB02520	ditiocarb
DB13784	dixyrazine
DB00841	dobutamine
DB00632	docosanol
DB02779	dodecyltrimethylammonium
DB14067	dofequidar
DB00204	dofetilide
DB00757	dolasetron
DB08930	dolutegravir
DB13768	domiodol
DB01184	domperidone
DB00843	donepezil
DB00988	dopamine
DB12313	dopexamine
DB11400	doramectin
DB06211	doripenem
DB00869	dorzolamide
DB06446	dotarizine
DB09167	dothiepin
DB01135	doxacurium
DB00561	doxapram
DB00590	doxazosin
DB01142	doxepin
DB06410	doxercalciferol
DB12947	doxifluridine
DB09273	doxofylline
DB00997	doxorubicin
DB00254	doxycycline
DB00366	doxylamine
DB15641	droloxifene
DB00450	droperidol
DB01395	drospirenone
DB06751	drotaverin
DB09215	droxicam
DB06262	droxidopa
DB09045	dulaglutide
DB00476	duloxetine
DB01126	dutasteride
DB11723	dutogliptin
DB03206	duvoglustat
DB00645	dyclonine
DB00378	dydrogesterone
DB00651	dyphylline
DB11742	ebastine
DB12610	ebselen
DB05265	ecabet
DB05311	ecallantide
DB01525	ecgonine
DB15582	echinomycin
DB01057	echothiophate
DB01127	econazole
DB12273	ecopipam
DB01257	eculizumab
DB09184	edivoxetine
DB04882	edotecarin
DB09075	edoxaban
DB13421	edoxudine
DB13375	edrecolomab
DB01010	edrophonium
DB00095	efalizumab
DB08486	efaproxiral
DB00625	efavirenz
DB09040	efinaconazole
DB06243	eflornithine
DB09235	efonidipine
DB11401	efrotomycin
DB05494	elacytarabine
DB05161	elafin
DB11979	elagolix
DB05719	elesclomol
DB00216	eletriptan
DB09039	eliglustat
DB06350	elinogrel
DB12869	eliprodil
DB06317	elotuzumab
DB12883	eltoprazine
DB09101	elvitegravir
DB06236	elvucitabine
DB01487	embutramide
DB01084	emedastine
DB13505	emepronium
DB13393	emetine
DB08188	emivirine
DB07715	emodin
DB14064	emopamil
DB09038	empagliflozin
DB05408	emricasan
DB00879	emtricitabine
DB00584	enalapril
DB03395	enalkiren
DB01228	encainide
DB06423	endostatins
DB00228	enflurane
DB00109	enfuvirtide
DB14035	englitazone
DB05555	enokizumab
DB00467	enoxacin
DB01225	enoxaparin
DB04880	enoximone
DB00824	enprofylline
DB13824	enprostil
DB11404	enrofloxacin
DB12342	ensituximab
DB11115	ensulizole
DB00494	entacapone
DB00442	entecavir
DB11841	entinostat
DB08993	enviomycin
DB11219	enzacamene
DB08899	enzalutamide
DB15293	epalrestat
DB13757	epanolol
DB11934	epelsiban
DB08992	eperisone
DB01363	ephedra
DB01364	ephedrine
DB07720	epibatidine
DB13300	epicillin
DB13386	epimestrol
DB00751	epinastine
DB00668	epinephrine
DB08991	epirizole
DB00445	epirubicin
DB13989	epithiazide
DB00700	eplerenone
DB12177	eplivanserin
DB13802	epomediol
DB01240	epoprostenol
DB08990	eprazinone
DB11405	eprinomectin
DB00876	eprosartan
DB00063	eptifibatide
DB02187	equilin
DB11674	equol
DB05057	erdosteine
DB00153	ergocalciferol
DB01253	ergonovine
DB00696	ergotamine
DB06920	eribaxaban
DB08871	eribulin
DB09143	erismodegib
DB00530	erlotinib
DB00303	ertapenem
DB04481	erythritol
DB00199	erythromycin
DB13443	esatenolol
DB01175	escitalopram
DB13155	esculin
DB11823	esketamine
DB14575	eslicarbazepine
DB00187	esmolol
DB00736	esomeprazole
DB12395	esreboxetine
DB01215	estazolam
DB00783	estradiol
DB01196	estramustine
DB04573	estriol
DB00655	estrone
DB00402	eszopiclone
DB13845	etafenone
DB13592	etamiphylline
DB12736	etanidazole
DB12213	etaracizumab
DB13645	ethacizine
DB00330	ethambutol
DB08989	ethamivan
DB13483	ethamsylate
DB00189	ethchlorvynol
DB13544	ethenzamide
DB01031	ethinamate
DB00609	ethionamide
DB13339	ethoglucid
DB00593	ethosuximide
DB00754	ethotoin
DB00311	ethoxzolamide
DB13468	ethybenztropine
DB14189	ethylenediamine
DB01493	ethylestrenol
DB02967	ethylmaleimide
DB01466	ethylmorphine
DB13866	ethynodiol
DB15492	eticlopride
DB08987	etidocaine
DB01077	etidronate
DB08986	etifoxine
DB08985	etilefrine
DB11868	etiracetam
DB02234	etiron
DB09166	etizolam
DB00749	etodolac
DB13258	etofamide
DB08984	etofenamate
DB08983	etofibrate
DB00292	etomidate
DB00294	etonogestrel
DB00773	etoposide
DB01628	etoricoxib
DB01497	etorphine
DB06414	etravirine
DB00926	etretinate
DB03852	eucalyptol
DB09086	eugenol
DB11655	evacetrapib
DB01590	everolimus
DB11179	exametazime
DB12185	exatecan
DB00990	exemestane
DB01276	exenatide
DB00973	ezetimibe
DB00426	famciclovir
DB11408	famophos
DB00927	famotidine
DB05595	farletuzumab
DB08162	fasudil
DB11409	febantel
DB04854	febuxostat
DB00949	felbamate
DB07477	felbinac
DB01023	felodipine
DB00093	felypressin
DB12506	fenamole
DB11410	fenbendazole
DB08981	fenbufen
DB01463	fencamfamine
DB08980	fendiline
DB01482	fenethylline
DB00574	fenfluramine
DB12931	fenobam
DB01039	fenofibrate
DB00800	fenoldopam
DB00573	fenoprofen
DB01288	fenoterol
DB13042	fenoverine
DB11411	fenprostalene
DB13708	fenquizone
DB05076	fenretinide
DB08979	fenspiride
DB00813	fentanyl
DB11412	fenthion
DB13217	fentiazac
DB13434	fenticonazole
DB13364	feprazone
DB09508	ferumoxides
DB09507	ferumoxsil
DB06702	fesoterodine
DB00950	fexofenadine
DB12344	fezakinumab
DB12901	fiacitabine
DB15427	fialuridine
DB11680	ficlatuzumab
DB08874	fidaxomicin
DB11685	figitumumab
DB02660	filaminast
DB00099	filgrastim
DB11878	filibuvir
DB01216	finasteride
DB08868	fingolimod
DB12732	firategrast
DB07795	fisetin
DB06640	fispemifene
DB07776	flavone
DB01148	flavoxate
DB01195	flecainide
DB04576	fleroxacin
DB04908	flibanserin
DB08976	floctafenine
DB11413	florfenicol
DB13228	flosequinan
DB00301	floxacillin
DB13665	fluanisone
DB15583	fluazuron
DB08974	flubendazole
DB08973	flucloronide
DB00196	fluconazole
DB01099	flucytosine
DB01073	fludarabine
DB01567	fludiazepam
DB00687	fludrocortisone
DB02266	flufenamate
DB15006	flufenoxuron
DB13136	fluindione
DB01205	flumazenil
DB08972	flumequine
DB00663	flumethasone
DB04841	flunarizine
DB00180	flunisolide
DB01544	flunitrazepam
DB11518	flunixin
DB13317	flunoxaprofen
DB12553	fluocinolone
DB01047	fluocinonide
DB08971	fluocortolone
DB00324	fluorometholone
DB02348	fluorophosphate
DB00544	fluorouracil
DB00472	fluoxetine
DB01185	fluoxymesterone
DB00875	flupenthixol
DB00623	fluphenazine
DB06623	flupirtine
DB09378	fluprednisolone
DB11519	fluprostenol
DB00846	flurandrenolide
DB00690	flurazepam
DB00712	flurbiprofen
DB13338	flurithromycin
DB08969	flurothyl
DB04842	fluspirilene
DB00499	flutamide
DB13867	fluticasone
DB13425	flutrimazole
DB01095	fluvastatin
DB00176	fluvoxamine
DB01213	fomepizole
DB08968	fominoben
DB06759	fomivirsen
DB00569	fondaparinux
DB05111	fontolizumab
DB01342	forasartan
DB12307	foretinib
DB03843	formaldehyde
DB08905	formestane
DB15335	formononetin
DB00983	formoterol
DB02281	formycin
DB01319	fosamprenavir
DB06717	fosaprepitant
DB12577	fosbretabulin
DB00529	foscarnet
DB00828	fosfomycin
DB00492	fosinopril
DB14207	fosinoprilat
DB02948	fosmidomycin
DB01320	fosphenytoin
DB06716	fospropofol
DB12010	fostamatinib
DB04106	fotemustine
DB06472	fradafiban
DB00452	framycetin
DB12396	fresolimumab
DB00998	frovatriptan
DB04173	fructose
DB12102	fulranumab
DB00947	fulvestrant
DB02640	fumagillin
DB14029	furafylline
DB06499	furaprofen
DB00614	furazolidone
DB00695	furosemide
DB08966	fursultiamin
DB08965	fusafungin
DB01780	fusicoccin
DB02054	gabaculine
DB00996	gabapentin
DB12831	gabexate
DB06554	gaboxadol
DB13096	gacyclidine
DB06703	gadobutrol
DB00225	gadodiamide
DB00597	gadoteridol
DB00538	gadoversetamide
DB11735	galactose
DB00674	galantamine
DB12415	galeterone
DB13584	gallamine
DB12923	gallopamil
DB01279	galsulfase
DB11416	gamithromycin
DB05087	ganaxolone
DB01004	ganciclovir
DB12047	ganetespib
DB06785	ganirelix
DB12205	ganitumab
DB12034	gantenerumab
DB01044	gatifloxacin
DB06741	gavestinel
DB12079	gefarnate
DB00317	gefitinib
DB02424	geldanamycin
DB00441	gemcitabine
DB08964	gemeprost
DB01241	gemfibrozil
DB01155	gemifloxacin
DB04263	geneticin
DB01645	genistein
DB00798	gentamicins
DB12184	gepirone
DB14183	geraniol
DB06730	gestodene
DB11619	gestrinone
DB12119	gevokizumab
DB07814	gibberellin
DB11902	gisadenafil
DB11417	gleptoferron
DB08962	glibornuride
DB01120	gliclazide
DB00222	glimepiride
DB01067	glipizide
DB01251	gliquidone
DB01289	glisoxepide
DB00040	glucagon
DB14963	glucomannan
DB04564	gluconolactone
DB01296	glucosamine
DB09341	glucose
DB03266	glutaral
DB00143	glutathione
DB01437	glutethimide
DB01016	glyburide
DB00145	glycine
DB02751	glycocyamine
DB04539	glyphosate
DB05475	golotimod
DB00644	gonadorelin
DB00014	goserelin
DB08382	gosogliptin
DB13044	gossypol
DB00027	gramicidin
DB00889	granisetron
DB00365	grepafloxacin
DB00400	griseofulvin
DB13538	guacetisal
DB00874	guaifenesin
DB00629	guanabenz
DB00226	guanadrel
DB01170	guanethidine
DB01018	guanfacine
DB13410	guanoxabenz
DB12692	gusperimus
DB13302	hachimycin
DB02109	hadacidin
DB00801	halazepam
DB06786	halcinonide
DB00596	halobetasol
DB01218	halofantrine
DB04866	halofuginone
DB00502	haloperidol
DB00793	haloprogin
DB01159	halothane
DB13875	harmaline
DB07919	harmine
DB03404	hemin
DB01354	heptabarbital
DB01094	hesperetin
DB04703	hesperidin
DB00739	hetacillin
DB09106	hetastarch
DB00756	hexachlorophene
DB03808	hexamidine
DB07931	hexestrol
DB08958	hexetidine
DB01355	hexobarbital
DB13265	hexobendine
DB08957	hexoprenaline
DB00473	hexylcaine
DB04132	hexylglutathione
DB11254	hexylresorcinol
DB12779	higenamine
DB05381	histamine
DB00117	histidine
DB06788	histrelin
DB11181	homatropine
DB04865	homoharringtonine
DB11064	homosalate
DB08818	hyaluronan
DB14740	hyaluronidase
DB14061	hycanthone
DB01275	hydralazine
DB00769	hydrocortamate
DB00774	hydroflumethiazide
DB00327	hydromorphone
DB15300	hydroquinidine
DB09526	hydroquinone
DB13322	hydrotalcite
DB00200	hydroxocobalamin
DB01611	hydroxychloroquine
DB03770	hydroxyguanidine
DB09307	hydroxymaprotilin
DB14570	hydroxyprogesterone
DB12771	hydroxytyrosol
DB01005	hydroxyurea
DB00557	hydroxyzine
DB07118	hymecromone
DB00424	hyoscyamine
DB13014	hypericin
DB11075	hypromellose
DB00710	ibandronate
DB12649	ibipinabant
DB13316	ibopamine
DB09053	ibrutinib
DB05266	ibudilast
DB01050	ibuprofen
DB08955	ibuproxam
DB00308	ibutilide
DB06196	icatibant
DB11341	ichthammol
DB06358	iclaprim
DB00702	icodextrin
DB14824	icrucumab
DB01177	idarubicin
DB12551	idazoxan
DB09081	idebenone
DB00249	idoxuridine
DB01271	idursulfase
DB08954	ifenprodil
DB12321	ifetroban
DB01181	ifosfamide
DB04946	iloperidone
DB01088	iloprost
DB12105	imagabalin
DB00619	imatinib
DB05003	imexon
DB11421	imidacloprid
DB11783	imidapril
DB03366	imidazole
DB11521	imidocarb
DB14075	imidurea
DB00053	imiglucerase
DB01598	imipenem
DB00458	imipramine
DB00724	imiquimod
DB09284	imolamine
DB01427	inamrinone
DB11647	incyclinide
DB05039	indacaterol
DB08953	indalpine
DB00808	indapamide
DB00192	indecainide
DB07724	indeglitazar
DB08952	indenolol
DB06169	indibulin
DB00224	indinavir
DB12590	indiplon
DB12379	indirubin
DB12545	indobufen
DB00328	indomethacin
DB08951	indoprofen
DB08950	indoramin
DB04796	inecalcitol
DB00065	infliximab
DB13178	inositol
DB12701	intetumumab
DB00638	inulin
DB12407	iobitridol
DB08948	iodamide
DB04711	iodipamide
DB01249	iodixanol
DB13568	iodopyracet
DB09115	iodoquinol
DB01362	iohexol
DB11705	iomeprol
DB08947	iopamidol
DB13861	iopentol
DB01187	iophendylate
DB09156	iopromide
DB13389	iopydol
DB09487	iotrolan
DB09134	ioversol
DB09135	ioxilan
DB13293	ipecac
DB06186	ipilimumab
DB09333	ipodate
DB00332	ipratropium
DB13541	iprazochrome
DB13496	iprindole
DB04818	iproniazid
DB05550	iratumumab
DB01029	irbesartan
DB00762	irinotecan
DB05786	irofulven
DB01592	iron
DB13056	irsogladine
DB04860	isatoribine
DB15468	iscotrizinol
DB13540	isepamicin
DB08944	isoaminile
DB01247	isocarboxazid
DB08943	isoconazole
DB00221	isoetharine
DB00753	isoflurane
DB00677	isoflurophate
DB00167	isoleucine
DB03285	isoliquiritigenin
DB02041	isoluminol
DB06706	isometheptene
DB00951	isoniazid
DB11933	isopentenyladenosine
DB01625	isopropamide
DB01064	isoproterenol
DB09401	isosorbide
DB08802	isothipendyl
DB00982	isotretinoin
DB08942	isoxicam
DB08941	isoxsuprine
DB00270	isradipine
DB11757	istradefylline
DB01167	itraconazole
DB08820	ivacaftor
DB00602	ivermectin
DB04845	ixabepilone
DB11569	ixekizumab
DB01321	josamycin
DB01172	kanamycin
DB01575	kaolin
DB08940	kebuzone
DB08040	kelatorphan
DB01221	ketamine
DB12465	ketanserin
DB01587	ketazolam
DB06738	ketobemidone
DB01026	ketoconazole
DB01009	ketoprofen
DB00465	ketorolac
DB00920	ketotifen
DB02742	kifunensine
DB13197	kininogens
DB09309	kitasamycin
DB01266	kunecatechins
DB00598	labetalol
DB05097	labetuzumab
DB09236	lacidipine
DB06218	lacosamide
DB13761	lactase
DB12942	lactitol
DB04465	lactose
DB00581	lactulose
DB12770	lafutidine
DB00709	lamivudine
DB00555	lamotrigine
DB12212	landiolol
DB06245	lanoteplase
DB06791	lanreotide
DB00448	lansoprazole
DB01259	lapatinib
DB05645	larazotide
DB05817	laromustine
DB00090	laronidase
DB11629	laropiprant
DB11423	lasalocid
DB00654	latanoprost
DB11725	latrepirdine
DB04744	lawsone
DB11914	lebrikizumab
DB01097	leflunomide
DB04863	lefradafiban
DB00480	lenalidomide
DB13144	lenograstim
DB13480	lentinan
DB09078	lenvatinib
DB00001	lepirudin
DB00528	lercanidipine
DB15095	leridistim
DB11649	lersivirine
DB11984	letaxaban
DB08939	letosteine
DB01006	letrozole
DB00149	leucine
DB00650	leucovorin
DB00007	leuprolide
DB13139	levalbuterol
DB00504	levallorphan
DB00848	levamisole
DB01202	levetiracetam
DB01210	levobunolol
DB01002	levobupivacaine
DB01106	levocabastine
DB06282	levocetirizine
DB01235	levodopa
DB01137	levofloxacin
DB11596	levoleucovorin
DB01227	levomethadyl
DB06707	levonordefrin
DB00367	levonorgestrel
DB06793	levopropoxyphene
DB00854	levorphanol
DB00922	levosimendan
DB06599	lexatumumab
DB13066	liarozole
DB00281	lidocaine
DB13766	lidoflazine
DB07063	lidorestat
DB12448	lifibrol
DB08890	linaclotide
DB08882	linagliptin
DB01627	lincomycin
DB00431	lindane
DB00601	linezolid
DB13806	linopirdine
DB13400	linsidomine
DB06075	linsitinib
DB01583	liotrix
DB06655	liraglutide
DB01255	lisdexamfetamine
DB00722	lisinopril
DB12406	lisofylline
DB00589	lisuride
DB11861	litronesib
DB06666	lixivaptan
DB05137	lobeline
DB12531	lobucavir
DB06794	lodoxamide
DB09174	lofentanil
DB13411	lofepramine
DB04948	lofexidine
DB00978	lomefloxacin
DB14065	lomerizine
DB12769	lometrexol
DB08827	lomitapide
DB01206	lomustine
DB13432	lonazolac
DB06266	lonidamine
DB00836	loperamide
DB01601	lopinavir
DB00447	loracarbef
DB00455	loratadine
DB00186	lorazepam
DB13653	lorcainide
DB04871	lorcaserin
DB13872	lormetazepam
DB06725	lornoxicam
DB09187	lortalamine
DB00678	losartan
DB12270	losmapimod
DB00873	loteprednol
DB00227	lovastatin
DB00408	loxapine
DB09212	loxoprofen
DB12884	loxtidine
DB01046	lubiprostone
DB04967	lucanthone
DB06360	lucatumumab
DB04897	lucinactant
DB11424	lufenuron
DB08933	luliconazole
DB06708	lumefantrine
DB01283	lumiracoxib
DB12622	lupeol
DB08815	lurasidone
DB12222	lurtotecan
DB00137	lutein
DB15584	luteolin
DB11231	lycopene
DB00256	lymecycline
DB12474	lynestrenol
DB14642	lypressin
DB00123	lysine
DB08932	macitentan
DB15532	madecassoside
