Drug_id,Drug_name,Target_id,Target_name
DB00675,Tamoxifen,Q9UNQ0,ATP-binding cassette sub-family G member 2
DB00675,Tamoxifen,Q92887,Canalicular multispecific organic anion transporter 1
DB00675,Tamoxifen,O95342,Bile salt export pump
DB00675,Tamoxifen,O95477,ATP-binding cassette sub-family A member 1
DB00677,Isoflurophate,P22303,Acetylcholinesterase
DB00677,Isoflurophate,P06276,BCHE
DB00677,Isoflurophate,P02787,Serotransferrin
DB00677,Isoflurophate,P02768,Serum albumin
DB00678,Losartan,P30556,Type-1 angiotensin II receptor
DB00678,Losartan,P11712,Cytochrome P450 2C9
DB00678,Losartan,P08684,Cytochrome P450 3A4
DB00678,Losartan,P33261,Cytochrome P450 2C19
DB00678,Losartan,P22309,UDP-glucuronosyltransferase 1-1
DB00678,Losartan,P35503,UDP-glucuronosyltransferase 1-3
DB00678,Losartan,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00678,Losartan,P16662,UDP-glucuronosyltransferase 2B7
DB00678,Losartan,O75795,UDP-glucuronosyltransferase 2B17
DB00678,Losartan,P10632,Cytochrome P450 2C8
DB00678,Losartan,P02768,Serum albumin
DB00678,Losartan,P08183,Multidrug resistance protein 1
DB00678,Losartan,Q4U2R8,Solute carrier family 22 member 6
DB00678,Losartan,Q96S37,Solute carrier family 22 member 12
DB00678,Losartan,Q9NRM0,"Solute carrier family 2, facilitated glucose transporter member 9"
DB00678,Losartan,O95342,Bile salt export pump
DB00679,Thioridazine,P14416,D(2) dopamine receptor
DB00679,Thioridazine,P35348,Alpha-1A adrenergic receptor
DB00679,Thioridazine,P35368,Alpha-1B adrenergic receptor
DB00679,Thioridazine,P21728,D(1A) dopamine receptor
DB00679,Thioridazine,P28223,5-hydroxytryptamine receptor 2A
DB00679,Thioridazine,Q12809,Potassium voltage-gated channel subfamily H member 2
DB00679,Thioridazine,P10635,Cytochrome P450 2D6
DB00679,Thioridazine,P33261,Cytochrome P450 2C19
DB00679,Thioridazine,P05181,Cytochrome P450 2E1
DB00680,Moricizine,Q14524,Sodium channel protein type 5 subunit alpha
DB00681,Amphotericin B,P08684,Cytochrome P450 3A4
DB00682,Warfarin,Q9BQB6,Vitamin K epoxide reductase complex subunit 1
DB00682,Warfarin,O75469,Nuclear receptor subfamily 1 group I member 2
DB00682,Warfarin,P11712,Cytochrome P450 2C9
DB00682,Warfarin,P05177,Cytochrome P450 1A2
DB00682,Warfarin,P33261,Cytochrome P450 2C19
DB00682,Warfarin,P08684,Cytochrome P450 3A4
DB00682,Warfarin,P10632,Cytochrome P450 2C8
DB00682,Warfarin,P33260,Cytochrome P450 2C18
DB00682,Warfarin,P02768,Serum albumin
DB00682,Warfarin,P02763,Alpha-1-acid glycoprotein 1
DB00683,Midazolam,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00683,Midazolam,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00683,Midazolam,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00683,Midazolam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00683,Midazolam,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00683,Midazolam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00683,Midazolam,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00683,Midazolam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00683,Midazolam,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB00683,Midazolam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00683,Midazolam,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00683,Midazolam,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB00683,Midazolam,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB00683,Midazolam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00683,Midazolam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00683,Midazolam,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00683,Midazolam,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00683,Midazolam,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00683,Midazolam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00683,Midazolam,P08684,Cytochrome P450 3A4
DB00683,Midazolam,P22310,UDP-glucuronosyltransferase 1-4
DB00683,Midazolam,P20815,Cytochrome P450 3A5
DB00683,Midazolam,P24462,Cytochrome P450 3A7
DB00684,Tobramycin,P0A7S3,30S ribosomal protein S12
DB00684,Tobramycin,P9WQG9,Aminoglycoside 2'-N-acetyltransferase
DB00685,Trovafloxacin,P11388,DNA topoisomerase 2-alpha
DB00685,Trovafloxacin,P43700,DNA gyrase subunit A
DB00685,Trovafloxacin,P43702,DNA topoisomerase 4 subunit A
DB00685,Trovafloxacin,P05177,Cytochrome P450 1A2
DB00686,Pentosan polysulfate,P08620,Fibroblast growth factor 4
DB00686,Pentosan polysulfate,P09038,Fibroblast growth factor 2
DB00686,Pentosan polysulfate,P05230,Fibroblast growth factor 1
DB00687,Fludrocortisone,P08235,Mineralocorticoid receptor
DB00687,Fludrocortisone,P10275,Androgen receptor
DB00687,Fludrocortisone,P04150,Glucocorticoid receptor
DB00687,Fludrocortisone,P08684,Cytochrome P450 3A4
DB00687,Fludrocortisone,P80365,Corticosteroid 11-beta-dehydrogenase isozyme 2
DB00687,Fludrocortisone,P28845,Corticosteroid 11-beta-dehydrogenase isozyme 1
DB00687,Fludrocortisone,P02768,Serum albumin
DB00687,Fludrocortisone,P08185,Corticosteroid-binding globulin
DB00688,Mycophenolate mofetil,P12268,Inosine-5'-monophosphate dehydrogenase 2
DB00688,Mycophenolate mofetil,P20839,Inosine-5'-monophosphate dehydrogenase 1
DB00688,Mycophenolate mofetil,Q03393,6-pyruvoyl tetrahydrobiopterin synthase
DB00688,Mycophenolate mofetil,P22309,UDP-glucuronosyltransferase 1-1
DB00688,Mycophenolate mofetil,Q9HAW7,UDP-glucuronosyltransferase 1-7
DB00688,Mycophenolate mofetil,P19224,UDP-glucuronosyltransferase 1-6
DB00688,Mycophenolate mofetil,O60656,UDP-glucuronosyltransferase 1-9
DB00688,Mycophenolate mofetil,P16662,UDP-glucuronosyltransferase 2B7
DB00688,Mycophenolate mofetil,Q9HAW9,UDP-glucuronosyltransferase 1-8
DB00688,Mycophenolate mofetil,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00688,Mycophenolate mofetil,P23141,Liver carboxylesterase 1
DB00688,Mycophenolate mofetil,P08684,Cytochrome P450 3A4
DB00688,Mycophenolate mofetil,P20815,Cytochrome P450 3A5
DB00688,Mycophenolate mofetil,P10632,Cytochrome P450 2C8
DB00688,Mycophenolate mofetil,Q6IPK9,Carboxylic ester hydrolase
DB00688,Mycophenolate mofetil,Q9Y6L6,Solute carrier organic anion transporter family member 1B1
DB00688,Mycophenolate mofetil,Q9NPD5,Solute carrier organic anion transporter family member 1B3
DB00688,Mycophenolate mofetil,Q9UNQ0,ATP-binding cassette sub-family G member 2
DB00688,Mycophenolate mofetil,P08183,Multidrug resistance protein 1
DB00688,Mycophenolate mofetil,Q92887,Canalicular multispecific organic anion transporter 1
DB00689,Cephaloglycin,P02919,Penicillin-binding protein 1B
DB00689,Cephaloglycin,O76082,Solute carrier family 22 member 5
DB00690,Flurazepam,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00690,Flurazepam,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00690,Flurazepam,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00690,Flurazepam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00690,Flurazepam,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00690,Flurazepam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00690,Flurazepam,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00690,Flurazepam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00690,Flurazepam,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB00690,Flurazepam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00690,Flurazepam,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00690,Flurazepam,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB00690,Flurazepam,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB00690,Flurazepam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00690,Flurazepam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00690,Flurazepam,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00690,Flurazepam,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00690,Flurazepam,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00690,Flurazepam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00690,Flurazepam,P08684,Cytochrome P450 3A4
DB00690,Flurazepam,P05181,Cytochrome P450 2E1
DB00690,Flurazepam,P11509,Cytochrome P450 2A6
DB00690,Flurazepam,P08183,Multidrug resistance protein 1
DB00690,Flurazepam,O15244,Solute carrier family 22 member 2
DB00691,Moexipril,P12821,Angiotensin-converting enzyme
DB00691,Moexipril,Q9BYF1,Angiotensin-converting enzyme 2
DB00691,Moexipril,P46059,Solute carrier family 15 member 1
DB00691,Moexipril,Q16348,Solute carrier family 15 member 2
DB00692,Phentolamine,P08913,Alpha-2A adrenergic receptor
DB00692,Phentolamine,P35348,Alpha-1A adrenergic receptor
DB00692,Phentolamine,P35368,Alpha-1B adrenergic receptor
DB00692,Phentolamine,P25100,Alpha-1D adrenergic receptor
DB00693,"3,6-fluorandiol",P06310,Ig kappa chain V-II region RPMI 6410
DB00693,"3,6-fluorandiol",Q4U2R8,Solute carrier family 22 member 6
DB00693,"3,6-fluorandiol",O95342,Bile salt export pump
DB00693,"3,6-fluorandiol",P33527,Multidrug resistance-associated protein 1
DB00694,Daunorubicin,P11388,DNA topoisomerase 2-alpha
DB00694,Daunorubicin,Q02880,DNA topoisomerase 2-beta
DB00694,Daunorubicin,P08684,Cytochrome P450 3A4
DB00694,Daunorubicin,P20815,Cytochrome P450 3A5
DB00694,Daunorubicin,P04798,Cytochrome P450 1A1
DB00694,Daunorubicin,Q16678,Cytochrome P450 1B1
DB00694,Daunorubicin,P47989,Xanthine dehydrogenase/oxidase
DB00694,Daunorubicin,P16435,NADPH--cytochrome P450 reductase
DB00694,Daunorubicin,P08183,Multidrug resistance protein 1
DB00694,Daunorubicin,P33527,Multidrug resistance-associated protein 1
DB00694,Daunorubicin,Q5T3U5,Multidrug resistance-associated protein 7
DB00694,Daunorubicin,Q92887,Canalicular multispecific organic anion transporter 1
DB00694,Daunorubicin,O95255,Multidrug resistance-associated protein 6
DB00694,Daunorubicin,O95342,Bile salt export pump
DB00694,Daunorubicin,Q9UNQ0,ATP-binding cassette sub-family G member 2
DB00695,Furosemide,P00918,Carbonic anhydrase 2
DB00695,Furosemide,Q13621,Solute carrier family 12 member 1
DB00695,Furosemide,Q9HC97,G-protein coupled receptor 35
DB00695,Furosemide,P52209,"6-phosphogluconate dehydrogenase, decarboxylating"
DB00695,Furosemide,P22309,UDP-glucuronosyltransferase 1-1
DB00695,Furosemide,P02768,Serum albumin
DB00695,Furosemide,P05543,Thyroxine-binding globulin
DB00695,Furosemide,Q4U2R8,Solute carrier family 22 member 6
DB00695,Furosemide,O76082,Solute carrier family 22 member 5
DB00695,Furosemide,Q8TCC7,Solute carrier family 22 member 8
DB00695,Furosemide,Q92887,Canalicular multispecific organic anion transporter 1
DB00695,Furosemide,Q92959,Solute carrier organic anion transporter family member 2A1
DB00695,Furosemide,Q9NSA0,Solute carrier family 22 member 11
DB00696,Ergotamine,P14416,D(2) dopamine receptor
DB00696,Ergotamine,P23975,Sodium-dependent noradrenaline transporter
DB00696,Ergotamine,P35348,Alpha-1A adrenergic receptor
DB00696,Ergotamine,P35368,Alpha-1B adrenergic receptor
DB00696,Ergotamine,P28222,5-hydroxytryptamine receptor 1B
DB00696,Ergotamine,P30939,5-hydroxytryptamine receptor 1F
DB00696,Ergotamine,P25100,Alpha-1D adrenergic receptor
DB00696,Ergotamine,P28223,5-hydroxytryptamine receptor 2A
DB00696,Ergotamine,P08908,5-hydroxytryptamine receptor 1A
DB00696,Ergotamine,P18089,Alpha-2B adrenergic receptor
DB00696,Ergotamine,P28221,5-hydroxytryptamine receptor 1D
DB00696,Ergotamine,P08913,Alpha-2A adrenergic receptor
DB00696,Ergotamine,P21918,D(1B) dopamine receptor
DB00696,Ergotamine,P21728,D(1A) dopamine receptor
DB00696,Ergotamine,P28335,5-hydroxytryptamine receptor 2C
DB00696,Ergotamine,P41595,5-hydroxytryptamine receptor 2B
DB00696,Ergotamine,P18825,Alpha-2C adrenergic receptor
DB00696,Ergotamine,P08684,Cytochrome P450 3A4
DB00696,Ergotamine,P08183,Multidrug resistance protein 1
DB00697,Tizanidine,P18089,Alpha-2B adrenergic receptor
DB00697,Tizanidine,P08913,Alpha-2A adrenergic receptor
DB00697,Tizanidine,Q9Y2I1,Nischarin
DB00697,Tizanidine,P18825,Alpha-2C adrenergic receptor
DB00697,Tizanidine,P35348,Alpha-1A adrenergic receptor
DB00697,Tizanidine,P05177,Cytochrome P450 1A2
DB00698,Nitrofurantoin,P52647,Probable pyruvate-flavodoxin oxidoreductase
DB00698,Nitrofurantoin,P17117,Oxygen-insensitive NADPH nitroreductase
DB00698,Nitrofurantoin,P0A7R5,30S ribosomal protein S10
DB00698,Nitrofurantoin,P16435,NADPH--cytochrome P450 reductase
DB00698,Nitrofurantoin,Q9UNQ0,ATP-binding cassette sub-family G member 2
DB00698,Nitrofurantoin,O95342,Bile salt export pump
DB00698,Nitrofurantoin,P08183,Multidrug resistance protein 1
DB00698,Nitrofurantoin,Q92887,Canalicular multispecific organic anion transporter 1
DB00699,Nicergoline,P35348,Alpha-1A adrenergic receptor
DB00699,Nicergoline,P10635,Cytochrome P450 2D6
DB00700,Eplerenone,P08235,Mineralocorticoid receptor
DB00700,Eplerenone,P08684,Cytochrome P450 3A4
DB00700,Eplerenone,P20815,Cytochrome P450 3A5
DB00700,Eplerenone,P19099,"Cytochrome P450 11B2, mitochondrial"
DB00701,Amprenavir,Q72874,Pol polyprotein
DB00701,Amprenavir,P08684,Cytochrome P450 3A4
DB00701,Amprenavir,P20813,Cytochrome P450 2B6
DB00701,Amprenavir,P33261,Cytochrome P450 2C19
DB00701,Amprenavir,P11712,Cytochrome P450 2C9
DB00701,Amprenavir,P10635,Cytochrome P450 2D6
DB00701,Amprenavir,P20815,Cytochrome P450 3A5
DB00701,Amprenavir,P08183,Multidrug resistance protein 1
DB00701,Amprenavir,P33527,Multidrug resistance-associated protein 1
DB00701,Amprenavir,Q9Y6L6,Solute carrier organic anion transporter family member 1B1
DB00702,Icodextrin,P04746,Pancreatic alpha-amylase
DB00703,Methazolamide,P43166,Carbonic anhydrase 7
DB00703,Methazolamide,P22748,Carbonic anhydrase 4
DB00703,Methazolamide,P00915,Carbonic anhydrase 1
DB00703,Methazolamide,P00918,Carbonic anhydrase 2
DB00703,Methazolamide,P07451,Carbonic anhydrase 3
DB00703,Methazolamide,Q4U2R8,Solute carrier family 22 member 6
DB00704,Naltrexone,P41145,Kappa-type opioid receptor
DB00704,Naltrexone,P35372,Mu-type opioid receptor
DB00704,Naltrexone,P41143,Delta-type opioid receptor
DB00704,Naltrexone,Q99720,Sigma non-opioid intracellular receptor 1
DB00704,Naltrexone,Q5T1J1,"HCG20471, isoform CRA_c"
DB00704,Naltrexone,P22309,UDP-glucuronosyltransferase 1-1
DB00705,Delavirdine,Q72547,Reverse transcriptase/RNaseH
DB00705,Delavirdine,P08684,Cytochrome P450 3A4
DB00705,Delavirdine,P10635,Cytochrome P450 2D6
DB00705,Delavirdine,P20815,Cytochrome P450 3A5
DB00705,Delavirdine,P24462,Cytochrome P450 3A7
DB00705,Delavirdine,P11712,Cytochrome P450 2C9
DB00705,Delavirdine,P33261,Cytochrome P450 2C19
DB00706,Tamsulosin,P35348,Alpha-1A adrenergic receptor
DB00706,Tamsulosin,P25100,Alpha-1D adrenergic receptor
DB00706,Tamsulosin,P35368,Alpha-1B adrenergic receptor
DB00706,Tamsulosin,P08684,Cytochrome P450 3A4
DB00706,Tamsulosin,P10635,Cytochrome P450 2D6
DB00706,Tamsulosin,P02763,Alpha-1-acid glycoprotein 1
DB00707,Porfimer sodium,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00707,Porfimer sodium,P01130,Low-density lipoprotein receptor
DB00708,Sufentanil,P41145,Kappa-type opioid receptor
DB00708,Sufentanil,P41143,Delta-type opioid receptor
DB00708,Sufentanil,P35372,Mu-type opioid receptor
DB00708,Sufentanil,P08684,Cytochrome P450 3A4
DB00709,Lamivudine,Q72547,Reverse transcriptase/RNaseH
DB00709,Lamivudine,Q05486,Protein P
DB00709,Lamivudine,P27707,Deoxycytidine kinase
DB00709,Lamivudine,P30085,UMP-CMP kinase
DB00709,Lamivudine,P00558,Phosphoglycerate kinase 1
DB00709,Lamivudine,P15531,Nucleoside diphosphate kinase A
DB00709,Lamivudine,P22392,Nucleoside diphosphate kinase B
DB00709,Lamivudine,P49585,Choline-phosphate cytidylyltransferase A
DB00709,Lamivudine,Q99447,Ethanolamine-phosphate cytidylyltransferase
DB00709,Lamivudine,Q8TCD5,"5'(3')-deoxyribonucleotidase, cytosolic type"
DB00709,Lamivudine,P02768,Serum albumin
DB00709,Lamivudine,P33527,Multidrug resistance-associated protein 1
DB00709,Lamivudine,Q4U2R8,Solute carrier family 22 member 6
DB00709,Lamivudine,Q9UNQ0,ATP-binding cassette sub-family G member 2
DB00709,Lamivudine,O15245,Solute carrier family 22 member 1
DB00709,Lamivudine,O15244,Solute carrier family 22 member 2
DB00709,Lamivudine,O75751,Solute carrier family 22 member 3
DB00709,Lamivudine,P08183,Multidrug resistance protein 1
DB00709,Lamivudine,O15439,Multidrug resistance-associated protein 4
DB00709,Lamivudine,O15438,Canalicular multispecific organic anion transporter 2
DB00709,Lamivudine,Q92887,Canalicular multispecific organic anion transporter 1
DB00710,Ibandronate,P14324,Farnesyl pyrophosphate synthase
DB00710,Ibandronate,O95749,Geranylgeranyl pyrophosphate synthase
DB00711,Diethylcarbamazine,P23219,COX1
DB00711,Diethylcarbamazine,P09917,Arachidonate 5-lipoxygenase
DB00711,Diethylcarbamazine,P06276,BCHE
DB00712,Flurbiprofen,P23219,COX1
DB00712,Flurbiprofen,P35354,Prostaglandin G/H synthase 2
DB00712,Flurbiprofen,P11712,Cytochrome P450 2C9
DB00712,Flurbiprofen,P16662,UDP-glucuronosyltransferase 2B7
DB00712,Flurbiprofen,P22309,UDP-glucuronosyltransferase 1-1
DB00712,Flurbiprofen,P35503,UDP-glucuronosyltransferase 1-3
DB00712,Flurbiprofen,O60656,UDP-glucuronosyltransferase 1-9
DB00712,Flurbiprofen,P06133,UDP-glucuronosyltransferase 2B4
DB00712,Flurbiprofen,P02768,Serum albumin
DB00712,Flurbiprofen,O15439,Multidrug resistance-associated protein 4
DB00712,Flurbiprofen,Q4U2R8,Solute carrier family 22 member 6
DB00713,Oxacillin,P46059,Solute carrier family 15 member 1
DB00713,Oxacillin,Q16348,Solute carrier family 15 member 2
DB00713,Oxacillin,Q75Y35,Penicillin-binding protein 3
DB00713,Oxacillin,Q8DNB6,Penicillin-binding protein 2a
DB00713,Oxacillin,Q8DR59,Penicillin-binding protein 1A
DB00713,Oxacillin,P0A3M6,Penicillin-binding protein 2B
DB00713,Oxacillin,Q7CRA4,Penicillin-binding protein 1b
DB00713,Oxacillin,Q8XJ01,Penicillin-binding protein 1A
DB00713,Oxacillin,D6R448,Penicillin-binding protein 2
DB00714,Apomorphine,P21917,D(4) dopamine receptor
DB00714,Apomorphine,P18825,Alpha-2C adrenergic receptor
DB00714,Apomorphine,P28222,5-hydroxytryptamine receptor 1B
DB00714,Apomorphine,P35462,D(3) dopamine receptor
DB00714,Apomorphine,P14416,D(2) dopamine receptor
DB00714,Apomorphine,P28223,5-hydroxytryptamine receptor 2A
DB00714,Apomorphine,P41595,5-hydroxytryptamine receptor 2B
DB00714,Apomorphine,P08908,5-hydroxytryptamine receptor 1A
DB00714,Apomorphine,P28221,5-hydroxytryptamine receptor 1D
DB00714,Apomorphine,P18089,Alpha-2B adrenergic receptor
DB00714,Apomorphine,Q9NYX4,Neuron-specific vesicular protein calcyon
DB00714,Apomorphine,P21918,D(1B) dopamine receptor
DB00714,Apomorphine,P08913,Alpha-2A adrenergic receptor
DB00714,Apomorphine,P21728,D(1A) dopamine receptor
DB00714,Apomorphine,P28335,5-hydroxytryptamine receptor 2C
DB00714,Apomorphine,P21964,Catechol O-methyltransferase
DB00714,Apomorphine,P50225,Sulfotransferase 1A1
DB00714,Apomorphine,P50226,Sulfotransferase 1A2
DB00714,Apomorphine,P0DMM9,Sulfotransferase 1A3
DB00714,Apomorphine,P49888,Estrogen sulfotransferase
DB00714,Apomorphine,O43704,Sulfotransferase family cytosolic 1B member 1
DB00714,Apomorphine,P20813,Cytochrome P450 2B6
DB00714,Apomorphine,P10632,Cytochrome P450 2C8
DB00714,Apomorphine,P08684,Cytochrome P450 3A4
DB00714,Apomorphine,P20815,Cytochrome P450 3A5
DB00714,Apomorphine,P22309,UDP-glucuronosyltransferase 1-1
DB00714,Apomorphine,P02768,Serum albumin
DB00714,Apomorphine,Q05940,Synaptic vesicular amine transporter
DB00715,Paroxetine,P08912,Muscarinic acetylcholine receptor M5
DB00715,Paroxetine,P23975,Sodium-dependent noradrenaline transporter
DB00715,Paroxetine,P31645,Sodium-dependent serotonin transporter
DB00715,Paroxetine,P28223,5-hydroxytryptamine receptor 2A
DB00715,Paroxetine,P08172,Muscarinic acetylcholine receptor M2
DB00715,Paroxetine,P20309,Muscarinic acetylcholine receptor M3
DB00715,Paroxetine,P08173,Muscarinic acetylcholine receptor M4
DB00715,Paroxetine,P11229,Muscarinic acetylcholine receptor M1
DB00715,Paroxetine,P35348,Alpha-1A adrenergic receptor
DB00715,Paroxetine,P08913,Alpha-2A adrenergic receptor
DB00715,Paroxetine,P08588,Beta-1 adrenergic receptor
DB00715,Paroxetine,P14416,D(2) dopamine receptor
DB00715,Paroxetine,P35367,Histamine H1 receptor
DB00715,Paroxetine,P08908,5-hydroxytryptamine receptor 1A
DB00715,Paroxetine,P41595,5-hydroxytryptamine receptor 2B
DB00715,Paroxetine,P21728,D(1A) dopamine receptor
DB00715,Paroxetine,P10635,Cytochrome P450 2D6
DB00715,Paroxetine,P11712,Cytochrome P450 2C9
DB00715,Paroxetine,P20813,Cytochrome P450 2B6
DB00715,Paroxetine,P05177,Cytochrome P450 1A2
DB00715,Paroxetine,P08684,Cytochrome P450 3A4
DB00715,Paroxetine,P33261,Cytochrome P450 2C19
DB00715,Paroxetine,P08183,Multidrug resistance protein 1
DB00716,Nedocromil,Q9Y271,Cysteinyl leukotriene receptor 1
DB00716,Nedocromil,Q13258,Prostaglandin D2 receptor
DB00716,Nedocromil,P07900,Heat shock protein HSP 90-alpha
DB00716,Nedocromil,Q9NS75,Cysteinyl leukotriene receptor 2
DB00716,Nedocromil,P21462,fMet-Leu-Phe receptor
DB00717,Norethisterone,P06401,Progesterone receptor
DB00717,Norethisterone,P10275,Androgen receptor
DB00717,Norethisterone,P04150,Glucocorticoid receptor
DB00717,Norethisterone,P08684,Cytochrome P450 3A4
DB00717,Norethisterone,P17516,Aldo-keto reductase family 1 member C4
DB00717,Norethisterone,P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
DB00717,Norethisterone,P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1
DB00717,Norethisterone,P51857,3-oxo-5-beta-steroid 4-dehydrogenase
DB00717,Norethisterone,P33261,Cytochrome P450 2C19
DB00717,Norethisterone,P05177,Cytochrome P450 1A2
DB00717,Norethisterone,P11509,Cytochrome P450 2A6
DB00717,Norethisterone,P02768,Serum albumin
DB00717,Norethisterone,P04278,Sex hormone-binding globulin
DB00717,Norethisterone,P08183,Multidrug resistance protein 1
DB00718,Adefovir dipivoxil,P24024,Protein P
DB00718,Adefovir dipivoxil,P54819,"Adenylate kinase 2, mitochondrial"
DB00718,Adefovir dipivoxil,P27144,"Adenylate kinase 4, mitochondrial"
DB00718,Adefovir dipivoxil,P15531,Nucleoside diphosphate kinase A
DB00718,Adefovir dipivoxil,P22392,Nucleoside diphosphate kinase B
DB00718,Adefovir dipivoxil,Q4U2R8,Solute carrier family 22 member 6
DB00718,Adefovir dipivoxil,O15439,Multidrug resistance-associated protein 4
DB00718,Adefovir dipivoxil,O15440,Multidrug resistance-associated protein 5
DB00718,Adefovir dipivoxil,O75751,Solute carrier family 22 member 3
DB00719,Azatadine,P35367,Histamine H1 receptor
DB00719,Azatadine,P08684,Cytochrome P450 3A4
DB00720,Clodronic acid,P12236,ADP/ATP translocase 3
DB00720,Clodronic acid,P05141,ADP/ATP translocase 2
DB00720,Clodronic acid,P12235,ADP/ATP translocase 1
DB00720,Clodronic acid,P35354,Prostaglandin G/H synthase 2
DB00721,Procaine,Q9UGI6,KCNN3
DB00721,Procaine,Q9Y691,Calcium-activated potassium channel subunit beta-2
DB00721,Procaine,O15554,Intermediate conductance calcium-activated potassium channel protein 4
DB00721,Procaine,Q16558,KCNMB1
DB00721,Procaine,Q92952,KCNN1
DB00721,Procaine,Q9NPA1,KCNMB3
DB00721,Procaine,Q86W47,KCNMB4
DB00721,Procaine,Q9H2S1,KCNN2
DB00721,Procaine,Q12791,Calcium-activated potassium channel subunit alpha-1
DB00721,Procaine,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
DB00721,Procaine,Q9Y5Y9,Sodium channel protein type 10 subunit alpha
DB00721,Procaine,Q15822,Neuronal acetylcholine receptor subunit alpha-2
DB00721,Procaine,P21397,Amine oxidase [flavin-containing] A
DB00721,Procaine,P27338,Amine oxidase [flavin-containing] B
DB00721,Procaine,Q01959,Sodium-dependent dopamine transporter
DB00721,Procaine,P46098,5-hydroxytryptamine receptor 3A
DB00721,Procaine,P47712,Cytosolic phospholipase A2
DB00721,Procaine,Q86U10,60 kDa lysophospholipase
DB00721,Procaine,P26358,DNA (cytosine-5)-methyltransferase 1
DB00721,Procaine,Q9Y6K1,DNA (cytosine-5)-methyltransferase 3A
DB00721,Procaine,P06276,BCHE
DB00721,Procaine,P23975,Sodium-dependent noradrenaline transporter
DB00721,Procaine,P31645,Sodium-dependent serotonin transporter
DB00722,Lisinopril,P12821,Angiotensin-converting enzyme
DB00722,Lisinopril,Q9BYF1,Angiotensin-converting enzyme 2
DB00722,Lisinopril,P00797,Renin
DB00722,Lisinopril,P46059,Solute carrier family 15 member 1
DB00722,Lisinopril,Q16348,Solute carrier family 15 member 2
DB00723,Methoxamine,P35348,Alpha-1A adrenergic receptor
DB00723,Methoxamine,P35368,Alpha-1B adrenergic receptor
DB00723,Methoxamine,P25100,Alpha-1D adrenergic receptor
DB00724,Imiquimod,Q9NR97,Toll-like receptor 8
DB00724,Imiquimod,Q9NYK1,Toll-like receptor 7
DB00724,Imiquimod,P08684,Cytochrome P450 3A4
DB00725,Homatropine methylbromide,P08173,Muscarinic acetylcholine receptor M4
DB00725,Homatropine methylbromide,P08912,Muscarinic acetylcholine receptor M5
DB00725,Homatropine methylbromide,P11229,Muscarinic acetylcholine receptor M1
DB00725,Homatropine methylbromide,P20309,Muscarinic acetylcholine receptor M3
DB00725,Homatropine methylbromide,P08172,Muscarinic acetylcholine receptor M2
DB00726,Trimipramine,P23975,Sodium-dependent noradrenaline transporter
DB00726,Trimipramine,P07550,Beta-2 adrenergic receptor
