C0000729	Abdominal cramps
C0007785	Cerebral infarction
C0011848	Diabetes insipidus
C0013312	Dupuytren's contracture
C0014038	Encephalitis
C0017566	Gingival hyperplasia
C0019193	Hepatitis toxic
C0019829	Hodgkin's disease
C1266194	Hodgkin's disease lymphocyte predominance type stage unspecified
C0152267	Hodgkin's disease lymphocyte depletion type stage unspecified
C0020507	Hyperplasia
C0020555	Hypertrichosis
C0024299	Lymphoma
C0024305	Non-Hodgkin's lymphoma
C0025007	Measles
C0027932	Neurosis
C0031036	Polyarteritis nodosa
C0034935	Extensor plantar response
C0037822	Speech disorder
C0038506	Stuttering
C1096340	Dysphemia
C0085610	Sinus bradycardia
C0151838	Circumoral paresthesia
C0151882	Purpuric rash
C0162557	Acute hepatic failure
C0221161	Shallow breathing
C0235546	Hypopnoea
C0232766	Asterixis
C0234369	Trembling
C0234918	Rash morbilliform
C0235567	Sputum increased
C1262144	Increased bronchial secretion
C0270844	Tonic convulsion
C0543698	Hypersensitive syndrome
C1142139	Drug reaction with eosinophilia and systemic symptoms
C0740425	Taste altered
C1141936	Purple glove syndrome
C0151579	Crystalluria
C0151798	Hepatic necrosis
C0858775	Myopia transient
C0027092	Myopia
C1306571	Hepatic insufficiency
C0001126	Renal tubular acidosis
C0221706	Road traffic accident
C0002894	Refractory anaemia with an excess of blasts
C0005716	Blastomycosis
C0009760	Conjunctival haemorrhage
C0015402	Eye haemorrhage
C0019147	Coma hepatic
C0029163	Mouth haemorrhage
C0032781	Postnasal drip
C2938875	Upper-airway cough syndrome
C0085077	Acute febrile neutrophilic dermatosis
C0085652	Pyoderma gangrenosum
C0152965	Staphylococcal bacteraemia
C0235496	Oral mucosal petechiae
C0235632	Loin pain
C0238844	Respiratory sounds decreased
C0241075	Skin induration
C0242966	Systemic inflammatory response syndrome
C0265031	Haemorrhoidal haemorrhage
C0267566	Perirectal abscess
C0274435	Transfusion reaction
C0280028	Refractory anemia with excess blasts in transformation
C1963864	Myelodysplastic syndrome transformation
C0333243	Pitting edema
C0519030	Pneumonia klebsiella
C0521499	Injection site pigmentation changes
C0948991	Injection site discolouration
C0521509	Injection site induration
C0549335	Bone pain aggravated
C0549445	Anaemia NOS aggravated
C0578455	Abscess limb
C0745528	Klebsiella sepsis
C0853326	Dyspnoea exacerbated
C0856136	Fatigue aggravated
C0877211	General physical health deterioration
C0920166	Catheter site haemorrhage
C0948815	Catheter site erythema
C0948976	Leukaemia cutis
C0003892	Neuropathic arthropathy
C0015300	Exophthalmos
C0018813	Myocardial rupture
C0023801	Lipomatosis
C0024528	Malaise and fatigue
C0029445	Osteonecrosis
C0030922	Peptic ulcer haemorrhage
C0036341	Schizophrenia
C0085570	Alkalosis hypokalaemic
C0085660	Aseptic necrosis
C0151514	Skin atrophy
C0151937	Tendon rupture
C0152459	Skin striae
C0232841	Bladder dysfunction
C0233514	Abnormal behaviour
C0235259	Cataract subcapsular
C0235325	Gastric haemorrhage
C0235409	Increased insulin requirement
C0235453	Steroid withdrawal syndrome
C0240417	Muscle mass
C0242339	Dyslipidaemia
C0262431	Spinal compression fracture
C0270994	Steroid myopathy
C0278079	Dependence psychological
C0333641	Atrophy
C0525045	Affective disorder
C0559031	Functional gastrointestinal disorder
C0730328	Central serous retinopathy
C0339383	Chorioretinopathy
C0853761	Blood potassium decreased
C0854100	Nitrogen balance negative
C0919643	Urine calcium increased
C1960509	Epidural lipomatosis
C0236993	Other sleep disturbances
C0795692	Hyperlactacidaemia
C0001849	AIDS dementia complex
C0004364	Autoimmune disorder
C0011581	Depressive disorder
C0013415	Dysthymic disorder
C0021655	Insulin resistance
C0023787	Lipodystrophy
C0877192	Lipodystrophy acquired
C0034902	Aplasia pure red cell
C0221773	Hyperamylasaemia
C0520573	Buffalo hump
C1262113	Lipohypertrophy
C0856151	Fat redistribution
C2711227	Hepatic steatosis
C0002064	Respiratory alkalosis
C0002390	Alveolitis allergic
C0018824	Cardiac valve disease
C0019156	Venoocclusive liver disease
C0085436	Meningitis cryptococcal
C0085577	Normocytic anemia
C0271899	Normochromic normocytic anaemia
C0085679	Hyperchloraemia
C0152063	Streptobacillary fever
C0854144	Septic arthritis streptobacillus
C0162283	Nephrogenic diabetes insipidus
C0232807	Function kidney decreased
C0232831	Hyposthenuria
C0235723	Reaction febrile
C0281856	Generalized aching
C0553732	Prothrombin level decreased
C0595885	Serum potassium decreased
C0919890	Hyperfibrinogenaemia
C0852921	Blood fibrinogen increased
C0948715	Infusion related reaction
C1504419	Pelvic haemorrhage
C3203358	Hypoventilation
C0024031	Low back pain
C0149904	Hepatitis cholestatic
C0151465	Renal abscess
C0151701	Pulmonary haemorrhage
C0234916	Rash follicular
C0234935	Acute urticaria
C0239981	Hypoalbuminaemia
C0857448	Serum urea increased
C0007166	Cardiac output decreased
C0007398	Catatonia
C0021775	Intermittent claudication
C0022281	Eye pruritus
C0259817	Xerosis
C0344320	Vivid dreams
C0701811	Short-term memory loss
C1456822	Claudication
C3665609	Conjunctival xerosis
C0001339	Pancreatitis acute
C0005694	Bladder neck obstruction
C0022672	Nephrosis lower nephron
C0032788	Postoperative hemorrhage
C0041105	Trismus
C0151205	Periorbital oedema
C0152032	Urinary hesitation
C0154946	Acute angle-closure glaucoma
C0235853	Pemphigoid reaction
C0030805	Pemphigoid
C0241705	Strangury
C0302809	Hepatitis fulminant
C0427108	Unsteadiness
C0549493	Alveolitis
C0699828	Serotonin syndrome
C0856054	Mental status changes
C0877055	Acute generalised exanthematous pustulosis
C0877398	Anaemia postoperative
C0919823	Cytolytic hepatitis
C1096035	Infusion site pain
C1739363	Prostatic hypertrophy
C1704272	Benign prostatic hyperplasia
C2609176	Kounis syndrome
C0085602	Polydipsia
C0151686	Growth retardation
C0206160	Reticulocytosis
C0542247	Tremulousness
C0232910	Teratogenicity
C1455782	Vagotonia
C0274702	Cholinergic syndrome
C0007971	Cheilitis
C0009917	Muscle contracture
C0333472	Epidermolysis
C0858867	Reticulocytopenia
C0007177	Cardiac tamponade
C0020523	Type I hypersensitivity
C0030593	Pars planitis
C0085650	Purpura fulminans
C0235030	Neurologic reaction
C0235573	Haemoglobinaemia
C0424489	Chapped lips
C0542149	Injection site phlebitis
C0740399	Auditory and visual hallucinations
C0855223	Hallucinations, mixed
C0856677	Accelerated hair loss
C1096543	Superficial punctate keratopathy
C0259799	Punctate keratitis
C2973529	Leukocytoclastic vasculitis
C3665444	Neutrophilia
C0032914	Pre-eclampsia
C0032989	Multiple pregnancy
C0040584	Tracheitis
C0085128	Cardiac output increased
C0221045	Cardiac failure high output
C0151596	Tongue discolouration
C0221490	Epigastric distress
C0232197	Cardiac fibrillation
C0234373	Tremor fine
C0235082	Tremor muscle
C0235108	Feeling tense
C0235746	Saliva altered
C0235906	Bronchospasm aggravated
C0236072	Bronchospasm paradoxical
C0239842	Tremor of hands
C0410918	Tachycardia foetal
C0700361	Emotional distress
C0853908	Oropharyngeal swelling
C0863093	Cold symptoms
C1145628	Unspecified disorder of autonomic nervous system
C0259749	Autonomic neuropathy
C1258192	Vascular resistance systemic
C0855329	Electrocardiogram change
C0026113	Miliaria
C0175167	Acneiform eruption
C0234894	Dermatitis acneiform
C0263449	Dermatitis perioral
C0001349	Acute phase reaction
C0014583	Episcleritis
C0014852	Oesophageal disorder
C0015802	Femur fracture
C0020438	Hypercalciuria
C0026636	Oral disorder
C0029434	Osteogenesis imperfecta
C0029443	Osteomyelitis
C0162386	Femur fracture subtrochanteric
C0272753	Femur shaft fracture
C0341117	Esophageal erosions
C0267055	Erosive oesophagitis
C0743575	Oesophageal irritation
C1442968	Anastomotic ulcer
C2711248	Osteonecrosis of jaw
C3495947	Atypical stress fracture
C3495700	Atypical fracture
C0013608	Oedema due to cardiac disease
C0026205	Miosis
C0277885	Blood pressure systolic decreased
C0277890	Blood pressure diastolic decreased
C0549346	Ischial neuralgia
C0549356	Inflicted injury
C0549374	Lumbar disc lesion
C0158252	Intervertebral disc disorder
C0860204	Cholestatic liver disease
C1688637	Intraoperative floppy iris syndrome
C1735601	Floppy iris syndrome
C0005699	Blast cell crisis
C0020981	Angioimmunoblastic T-cell lymphoma
C0021364	Infertility male
C0022081	Iritis
C0024282	Lymphocytosis
C0038220	Status epilepticus
C0038238	Steatorrhoea
C0043049	Water intoxication
C0085684	Footdrop
C0270810	Peroneal nerve palsy
C0151436	Allergic cutaneous angiitis
C0151613	Electrolyte abnormality
C0853748	Blood electrolytes abnormal
C0233931	Nocturnal emission
C0234533	Convulsions generalised
C0240925	Salivary gland swelling
C0020569	Salivary gland enlargement
C0243065	Aplasia
C0267940	Pancreatitis haemorrhagic
C0476486	Generalized lymphadenopathy
C0521464	Skin oedema
C0553548	Angiitis necrotising
C0856069	Vasculitis gastrointestinal
C2712871	Gout attack
C0020635	Hypopituitarism
C0021933	Intussusception
C0221170	Muscle stiffness
C0235620	Haemorrhage urinary tract
C0267166	Gastroduodenitis
C0281825	Dysequilibrium
C0522245	Feeling hot and cold
C0549385	Feeling of body temperature change
C0863090	Allergic skin reaction
C0920157	Mesenteric ischemia
C2004435	Intestinal ischaemia
C1142335	Bilirubin abnormal
C1142015	Blood bilirubin abnormal
C1264613	Gastrointestinal infection
C2607914	Rhinitis allergic
C0015726	Fear
C0020514	Hyperprolactinaemia
C0026838	Muscle spasticity
C0030319	Panic disorder
C0037315	Sleep apnoea syndrome
C0221100	Hangover
C0233796	Amnesia transient
C0233844	Clumsiness
C0235097	Withdrawal seizures
C0234547	Drug withdrawal convulsions
C0235295	Abdominal distress
C0392702	Abnormal involuntary movements
C0424230	Psychomotor retardation
C0424296	Disinhibition
C0455204	Homicidal ideation
C0522042	Loss of control of legs
C0522165	Feeling of relaxation
C0522172	Feeling drunk
C0542313	Sleep talking
C0546947	Choking sensation
C0740858	Substance abuse
C0859023	Talkativeness
C3248383	Logorrhoea
C0920289	Sluggishness
C0025362	Mental retardation
C0027849	Neuroleptic malignant syndrome
C0030662	Pathological gambling
C0085637	Oculogyric crisis
C0085642	Livedo reticularis
C0233479	Elevated mood
C0262576	Nerve paralysis
C0264490	Acute respiratory failure
C0312420	Hypersexuality
C0854212	Subepithelial opacities
C0039446	Telangiectasia
C0271738	Secondary adrenocortical insufficiency
C0024530	Malaria
C0026976	Myelitis transverse
C0151705	Retroperitoneal haemorrhage
C0232808	Shutdown renal
C0233715	Speech impairment NOS
C0271240	Blindness unilateral
C0271298	Chemosis
C0151601	Conjunctival oedema
C0743323	Acute dyspnea
C0853800	Contrast media reaction
C0857353	Hypotensive
C1328539	Reflex tachycardia
C0020626	Hypoparathyroidism
C0521465	Toxic skin eruption
C0595882	Serum calcium decreased
C3665346	Unspecified visual loss
C0001623	Adrenal insufficiency
C0034013	Precocious puberty
C0042380	Vascular resistance
C0042755	Virilism
C0744727	Haematocrit decreased
C0152165	Persistent vomiting
C0221158	Multifocal atrial tachycardia
C0546959	Atrial tachycardia
C0270611	Brain injury
C0948268	Haemodynamic instability
C1140716	Hypoxic-ischaemic encephalopathy
C1963951	Acute overdose
C0029944	Overdose
C0007758	Cerebellar ataxia
C0014534	Epididymitis
C0018188	Granuloma
C0019187	Hepatitis alcoholic
C0022581	Acquired keratoderma
C0022661	Renal failure chronic
C0023211	Bundle branch block left
C0024437	Macular degeneration
C0027868	Neuromyopathy
C0029132	Optic nerve disorder
C0030591	Paroxysmal ventricular tachycardia
C0032231	Pleurisy
C0040137	Thyroid nodule
C0040136	Thyroid neoplasm
C0085786	Hamman-Rich syndrome
C1279945	Acute interstitial pneumonitis
C1800706	Idiopathic pulmonary fibrosis
C0149881	Epididymo-orchitis
C0029191	Orchitis
C0151859	Polyserositis
C0151878	Electrocardiogram QT prolonged
C0152081	Pustular psoriasis
C0155118	Corneal degeneration
C0159039	Spontaneous bruising
C0162281	Corneal deposits
C0231303	Distress
C0234133	Extrapyramidal symptoms
C0235270	Keratopathy
C0238796	Bone marrow granuloma
C0242770	Bronchiolitis obliterans with organizing pneumonia
C0264383	Organising pneumonia
C0264893	Nodal arrhythmia
C0270922	Demyelinating polyneuropathy
C0340861	Pulseless electrical activity
C0341439	Chronic liver disease
C0344432	Multifocal ventricular tachycardia
C0348024	Dysfunction thyroid
C0427086	Movements involuntary
C0581386	Chronic anxiety
C0586553	Thyrotropin high
C0853019	Blood thyroid stimulating hormone increased
C0745754	Hepatic granuloma
C0852879	Pulmonary alveolar haemorrhage
C0857576	Thyroid function abnormal
C0476414	Thyroid function test abnormal
C0861171	Gritty feeling in eyes
C0920171	Foreign body sensation in eyes
C0948595	Ocular discomfort
C1112256	Peripheral sensorimotor neuropathy
C1442835	Solar dermatitis
C1510497	Lenticular opacities
C1527407	Eosinophilic pneumonia
C2363809	Incessant ventricular tachycardia
C0011071	Sudden death
C1457883	Aggressive reaction
C1735368	Acute dystonia
C0030446	Ileus paralytic
C0151480	Antinuclear antibody positive
C0152198	Accommodation disorder
C0235293	Taste peculiar
C0235347	Black hairy tongue
C0264886	Conduction disorder
C0392676	Hyperpyrexia
C0424823	Parotid swelling
C0341047	Parotid gland enlargement
C0855333	Electrocardiogram QT corrected interval prolonged
C0024117	Chronic obstructive pulmonary disease
C0085129	Bronchial hyperreactivity
C0043349	Xerophthalmia
C0234987	Dizziness postural
C0235848	Skin cold clammy
C0221345	Nail discolouration
C0546956	Onychoclasis
C0001416	Adenitis
C0024205	Lymphadenitis
C0085611	Atrial arrhythmia
C0428974	Arrhythmia supraventricular
C0426584	Appetite exaggerated
C0006848	Mucocutaneous candidiasis
C0038826	Superinfection
C0040434	Tooth discolouration
C0085819	Antibiotic associated colitis
C0238106	Clostridium difficile colitis
C0151565	Hemorrhagic colitis
C0151623	Enterocolitis haemorrhagic
C0751494	Convulsive seizure
C1257843	Pseudomembranous colitis
C1736172	Acute cytolytic hepatitis
C0740651	Abdominal symptom
C2939103	Perioral paraesthesia
C0522153	Urine color abnormal
C0541832	Chromaturia
C0020542	Pulmonary hypertension
C0023473	Chronic myeloid leukaemia
C0032463	Polycythaemia vera
C0040028	Essential thrombocythaemia
C0857361	Headache occurring
C0019557	Hip fracture
C0034152	Henoch-Schonlein purpura
C0151547	Cataract specified
C0154251	Lipid metabolism disorder
C0158328	Trigger finger
C0241633	Vaginal dryness
C0520589	Vulvovaginal dryness
C0521170	Osteoporotic fracture
C0549399	Low density lipoprotein increased
C0595929	Cholesterol serum elevated
C0595930	Blood cholesterol increased
C0853891	Tumour flare
C0857496	Thromboembolic event
C0877035	Oestrogenic effect
C1522133	High cholesterol
C1527411	Retinal vein thrombosis
C0853008	Parkinson's disease aggravated
C0030567	Parkinson's disease
C0005743	Blepharoconjunctivitis
C0005745	Eyelid ptosis
C0005747	Blepharospasm
C0015423	Eyelid disorder
C0042420	Syncope vasovagal
C0234665	Eyelid retraction
C0239454	Erythema of eyelid
C0392163	Corneal erosion
C0423006	Eye discharge
C0423232	Corneal staining
C0855704	Vital dye staining cornea present
C0743680	Eye oedema
C0853336	Corneal infiltrates
C0859253	Microhemorrhage
C0860499	Conjunctival follicles
C0948294	Eyelid margin crusting
C0948786	Blanching
C0002965	Angina unstable
C0151661	Peripheral gangrene
C0151814	Coronary artery occlusion
C3160770	Minor bleed
C0008049	Varicella
C0019087	Haemorrhagic disorder
C0035400	Reye's syndrome
C0235283	Ear buzzing
C0268030	Acidemia
C0857177	Arthritic pains
C0008372	Cholestasis intrahepatic
C0018816	Cardiac septal defect
C0018818	Ventricular septal defect
C0023212	Left ventricular failure
C0026266	Mitral valve incompetence
C0037052	Sick sinus syndrome
C0038218	Status asthmaticus
C0221155	Systolic hypertension
C0235763	Psoriasis flare-up
C0948369	Myocardial reinfarction
C1610080	ANA increased
C1610056	Antinuclear antibody increased
C0014335	Enteritis
C0015469	Facial paralysis
C0919980	VIIth nerve paralysis
C0027080	Myoglobinuria
C0853875	Myoglobin urine present
C0034951	Refraction disorder
C0039520	Tenosynovitis
C0040485	Torticollis
C0151824	Biliary colic
C0158350	Tendinous contracture
C0240291	Mg reduced
C0853750	Blood magnesium decreased
C0242979	Muscle fatigue
C0281913	Muscle swelling
C0542476	Forgetfulness
C0553692	Haemorrhagic stroke
C0555120	White blood cells urine positive
C0948008	Ischaemic stroke
C3267047	Immune-mediated necrotising myopathy
C0002886	Anaemia macrocytic
C0016579	Formication
C0020510	Nodular regenerative hyperplasia
C0024314	Lymphoproliferative disorder
C0549463	X-linked lymphoproliferative syndrome
C0025202	Malignant melanoma
C0030343	Panuveitis
C0030781	Peliosis hepatis
C0542035	Hypoplasia erythroid
C0851140	Cervix carcinoma stage 0
C0007868	Cervical dysplasia
C1261473	Sarcoma
C1333984	Hepatosplenic T-cell lymphoma
C0022073	Iridocyclitis
C0042900	Vitiligo
C0263383	Keratosis pilaris
C1527358	Phototoxicity
C0003126	Anosmia
C0003873	Rheumatoid arthritis
C0015393	Congenital eye disorder
C0015395	Eye burns
C0235290	Taste bitter
C0235761	Nasal septum perforation
C0236053	Mucosal ulceration
C0344357	Nocturnal dyspnoea
C0542101	Nasal burning
C0562057	Burning in throat
C0858600	Taste sweet
C1112369	Paranasal sinus hypersecretion
C0001175	Acquired immunodeficiency syndrome
C0032529	Genetic polymorphism
C0034194	Pyloric stenosis
C0043167	Pertussis
C0085393	Immunocompromised
C0162119	Haemoglobin decreased
C0750857	Alkaline phosphatase serum increased
C0850569	Allergic rash
C0860866	Potassium low
C0860871	Sodium decreased
C1112709	Unspecified non-gonococcal urethritis (NGU)
C0041976	Urethritis
C1262006	Sinusitis bacterial
C1262760	Drug-induced hepatitis
C0860207	Drug-induced liver injury
C2363980	Cross resistance
C0853847	Pathogen resistance
C0239113	Coombs test positive
C0262662	Ventricular bigeminy
C0013363	Dysautonomia
C0262385	Autonomic nervous system imbalance
C0020701	Hysteria
C0009946	Conversion disorder
C0151810	Lack of drug effect
C0151818	Opisthotonus
C0151934	Hypogeusia
C0231365	Urination impaired
C0235439	Ankle edema
C0259768	Wound dehiscence
C0392674	Exhaustion
C0426390	Bladder spasm
C1321898	Blood in stool
C0001622	Hyperadrenocorticism
C0010481	Cushing's syndrome
C0919659	Oropharyngeal candidiasis
C0035457	Perennial allergic rhinitis
C0848309	Rhinitis perennial
C0264268	Nasal septum ulceration
C0276680	Candida albicans infection
C0030807	Pemphigus
C0398370	Lipoedema
C0541923	Lip oedema
C0948050	Small bowel angioedema
C0019151	Hepatic encephalopathy
C0020599	Hypocalciuria
C0877717	Burning mouth
C0149526	Allergic urticaria
C0018843	Heat stroke
C0233763	Hallucination, visual
C0587054	Numbness in fingers
C2939094	Skin sensitisation
C0005697	Neurogenic bladder
C0024198	Lyme disease
C0031111	Periostitis
C0035021	Relapsing fever
C0040414	Tongue hairy
C0239276	Eosinophiluria
C0239375	Numbness of limbs
C0520736	Coombs positive haemolytic anaemia
C0541766	Aggravation of existing disorder
C0595879	Sodium high
C0595878	Blood sodium increased
C0679429	Platelet dysfunction
C1167750	Hoigne's syndrome
C0240211	Lip swelling
C0155626	Acute myocardial infarction
C0007194	Hypertrophic cardiomyopathy
C0015407	Eye infection viral
C0024032	Birth weight low
C1963897	Low birth weight baby
C0026846	Muscle atrophy
C0027543	Necrosis ischaemic
C0035344	Retinopathy of prematurity
C0041296	Tuberculosis
C0239295	Oesophageal candidiasis
C0410198	Proximal myopathy
C0423273	Scleral thinning
C0856808	Polymorphonuclear leukocytosis
C0858617	Posterior subcapsular cataract
C0003079	Pupils unequal
C0004095	Asthenopia
C0009759	Conjunctival disorder
C0030332	Panophthalmitis
C0040156	Thyrotoxicosis
C0235901	Lacrimation abnormal NOS
C0242461	Purpura non-thrombocytopenic
C0264714	Cardiac failure acute
C0497201	Abnormal sensation in eye
C0859996	Corneal sensitivity decreased
C0854097	Hypoaesthesia eye
C0860645	Bizarre dreams
C1305875	Fibroadenosis of breast
C0178421	Fibroadenoma of breast
C0151463	Breast abscess
C0155365	Vitreous disorder
C0232693	Borborygmi
C0151544	Gastrointestinal carcinoma
C0162316	Iron deficiency anaemia
C0558148	Yellow skin
C2242708	Hypertransaminasaemia
C0948733	Abdominal spasm
C0159066	Abdominal rigidity
C0011644	Scleroderma
C0152169	Renal colic
C0235296	Epigastric pain not food-related
C0235492	Raynaud-like disorder
C0034735	Raynaud's phenomenon
C0235522	Vein disorder
C0235560	Respiratory tract haemorrhage
C0235822	Overdose effect
C0268104	Purine metabolism disorder
C0813230	Serum triglycerides increased
C2939062	Respiratory tract oedema
C0235462	Anginal attack
C3160766	Supine hypotension
C0265072	Inferior vena cava syndrome
C0009766	Conjunctivitis allergic
C0020302	Developmental glaucoma
C0035854	Rosacea
C0042165	Anterior uveitis
C0042907	Vitreous detachment
C0221384	Follicular conjunctivitis
C0234655	Burning sensation in eye
C0235218	Skin warm
C0235267	Eye redness
C0849918	Eyelids pruritus
C0863079	Ocular stinging
C0863084	Skin discomfort
C0948288	Conjunctival discharge
C1736167	Systemic allergic reaction
C0233795	Anterograde amnesia
C0595883	Blood glucose decreased
C0750394	White blood cell count decreased
C0877609	Alertness decreased
C0001206	Acromegaly
C0007815	Cerebrospinal fluid rhinorrhea
C0023182	Cerebrospinal fluid leakage
C0011860	Type 2 diabetes mellitus
C0014714	Ergot poisoning
C0014804	Erythromelalgia
C0021122	Impulse-control disorder
C0030569	Secondary parkinsonism
C0031048	Pericarditis constrictive
C0035357	Retroperitoneal fibrosis
C0237938	Gastrointestinal ulcer
C0239513	Pallor facial
C0264545	Pleural thickening
C2720436	Pleural fibrosis
C0338575	Superior sagittal sinus thrombosis
C0424741	Cold feet
C0521158	Neoplasm recurrence
C0596170	Binge eating
C0694563	Excessive daytime sleepiness
C0919582	Sudden onset of sleep
C0948281	Malignant syndrome NOS
C0233401	Psychiatric symptom
C0003462	Anus disorder
C0008728	Allergic granulomatous angiitis
C0031345	Pharyngeal disorder
C0151632	Red blood cell sedimentation rate increased
C0232410	Hair growth increased
C0232409	Hair growth abnormal
C0235592	Lymphadenopathy cervical
C0332601	Cushingoid
C0742906	C-reactive protein increased
C0849907	Ear pruritus
C0852792	Blood cortisol decreased
C0005398	Cholestasis extrahepatic
C0033038	Premature ejaculation
C0240521	Nipple tenderness
C0476327	Serum amylase increased
C0863147	Glucose urine increased
C0221069	Anterior spinal artery syndrome
C0221780	Rectal discharge
C0235248	Vasoconstriction peripheral
C1456863	Vasoconstriction
C0237326	Dyschezia
C0262593	Peripheral nerve injury
C0270629	Extradural abscess
C0343263	Chondrolysis
C0426747	Anal haemorrhage
C0456677	Total spinal block
C0002928	Spinal anaesthesia
C0520559	Numbness of tongue
C0746961	Oxygen saturation decreased
C0854679	Needle injury
C2747853	Injury associated with device
C1262109	Procedural hypotension
C1328332	Procedural hypertension
C1698400	Incision site oedema
C1737224	Post procedural swelling
C1868752	Procedural nausea
C2939427	Hypoesthesia tongue
C0013221	Drug toxicity
C0019937	Horner's syndrome
C0030201	Postoperative pain
C0235863	Delayed delivery
C0269596	Haemorrhage in pregnancy
C0549389	Wound discharge increased
C0549418	Urine flow decreased
C0015644	Fasciculation
C0043012	Wakefulness
C0235195	Sedation
C0264907	Wenckebach phenomenon
C0549336	Asthma aggravated
C0728936	Unspecified circulatory system disorder
C0003564	Aphonia
C0008909	Claustrophobia
C0009269	Cold intolerance
C0012746	Dissociative disorder
C0022104	Irritable bowel syndrome
C0151564	Cogwheel rigidity
C0234047	Ejaculation delayed
C0235287	Dysosmia
C0241426	Burning tongue
C0242172	Pelvic inflammatory disease
C0423823	Nail thinning
C0424091	Decreased interest
C0541882	Difficulty thinking
C2937228	Tunnel vision
C0001403	Addison's disease
C0003028	Anhidrosis
C0010828	Cytopenia
C0014867	Varices oesophageal
C0020619	Hypogonadism
C0023474	Chronic phase chronic myeloid leukemia
C0034012	Delayed puberty
C0034088	Pulmonary valve incompetence
C0085594	Fever chills
C0221264	Cheilosis
C0221436	Melanoderma
C0235520	Femoral artery thrombosis
C1407280	Peripheral artery thrombosis
C0240035	Lung fibrosis interstitial
C0264523	Pulmonary ossification
C0333582	Dystrophic calcification
C0334044	Dysplasia
C0338908	Anxiety depression
C0349410	Organ failure
C0376545	Haematological malignancy
C0541887	Discomfort rectal
C0553980	Endocardial fibrosis
C0007196	Restrictive cardiomyopathy
C0850149	Dry cough
C0856825	Acute graft versus host disease
C0867389	Chronic graft versus host disease
C0877635	Cytomegalovirus viraemia
C0948484	Anal discomfort
C0948643	Hyperuricosuria
C1096274	Corneal thinning
C2717961	Thrombotic microangiopathy
C0026836	Muscle relaxation
C0151730	Drug effect increased
C0235131	Floating feeling
C0240564	Nasal pain
C0948070	Rhinalgia
C0392167	Drug effect prolonged
C0042063	Congenital genitourinary abnormality
C0015544	Failure to thrive
C0150077	Skin breakdown
C0520459	Necrotizing enterocolitis
C1442826	Necrotising enterocolitis neonatal
C0520872	Stroke volume increased
C0553702	Ca++ increased
C1096460	Infusion site phlebitis
C1112470	Infusion site inflammation
C1295666	Thyroxine decreased
C1527348	Brain hypoxia
C0004331	Atrioventricular dissociation
C0028949	Oligomenorrhoea
C0235893	Allergy aggravated
C0332573	Macule
C0700053	Idiopathic hypertrophic subaortic stenosis
C0740481	Hypotension asymptomatic
C0854082	Blood prolactin increased
C0858814	Hepatitis symptom
C0263367	Koebner phenomenon
C0029405	Brown tumour
C1262165	High turnover osteopathy
C0151683	Neutrophil count increased
C0221255	Calcification metastatic
C0239935	Haematocrit increased
C0406317	Plaque psoriasis
C0549448	Haemoglobin increased
C0595876	Calcium intoxication
C0595928	Serum calcium increased
C1561643	Chronic kidney disease
C1994994	Excessive thirst
C0019159	Hepatitis A
C0024137	Cutaneous lupus erythematosus
C0028173	NPN increased
C0029877	Otitis
C1142277	Brown urine
C0078911	HIV associated nephropathy
C0234936	Application site oedema
C0332687	Burns second degree
C0858794	Application site warmth
C0877095	Application site haematoma
C0877096	Application site paraesthesia
C0877097	Application site vesicles
C0877126	Application site inflammation
C0877127	Application site papules
C0877661	Application site burn
C0919600	Application site hyperaesthesia
C0919603	Application site urticaria
C1096001	Application site swelling
C1610049	Application site exfoliation
C0013274	Patent ductus arteriosus
C0015934	Microsomia
C0020545	Renovascular hypertension
C0079924	Oligohydramnios
C0332691	Scald
C0553704	Serum potassium increased
C0853760	Blood potassium increased
C0857122	Hyponatraemic
C0857172	Persistent dry cough
C0860433	Irreversible renal failure
C1390484	Skull hypoplasia
C2712122	Blood pressure normal
C0035305	Retinal detachment
C0155111	Bullous keratopathy
C0235229	Ciliary muscle spasm
C0001396	Adams-Stokes syndrome
C0003834	Arterial insufficiency
C0005944	Bone metabolism disorder
C0014431	Enzyme induction
C0016412	Folate deficiency
C0027822	Neurodermatitis
C0028850	Eye movement disorder
C0029453	Osteopenia
C0034634	Rage
C0085583	Choreoathetosis
C0086438	Hypogammaglobulinaemia
C0152115	Orofacial dyskinesia
C0156312	Testicular atrophy
C0162275	Ketonuria
C0162532	Variegate porphyria
C0162565	Porphyria acute
C0162533	Porphyria hepatic
C0263540	Onychomadesis
C0341742	Acute retention of urine
C0520933	Spermatogenesis abnormal
C0542052	Coronary artery insufficiency
C0549376	Plasma osmolality decreased
C0853755	Blood osmolarity decreased
C0740411	Delayed gastric emptying
C0853084	High density lipoprotein increased
C0853711	Sperm count decreased
C3160771	Sperm concentration decreased
C0854530	Human herpesvirus 6 infection
C0856171	Coronary artery disease aggravated
C0858093	Plasma calcium decreased
C0858589	Coordination disturbance
C0877225	Bone density decreased
C1096272	Vanishing bile duct syndrome
C1262535	Jaundice hepatocellular
C1274594	Lichenoid keratosis
C1760428	Suicidal behaviour
C0037011	Shoulder pain
C0221745	Depression suicidal
C0541831	Choreiform
C0022893	Labyrinthitis
C0006105	Brain abscess
C0035317	Retinal haemorrhage
C0043250	Wound
C0085437	Meningitis bacterial
C0151885	Reaction aggravation
